datetime	speed	x	y	y2	z	d		speed_real
2014-01-04_17:07:14_789997	16.4	-33	175	177.6666666667	-259	0		282
2014-01-04_17:07:14_798317	16.5	-33	175	176.3333333333	-259	0		282
2014-01-04_17:07:14_806774	16.6	30	150	166.6666666667	-76	0		283
2014-01-04_17:07:14_815749	16.7	30	150	158.3333333333	-76	0		283
2014-01-04_17:07:14_824030	16.8	30	150	150	-76	0		283
2014-01-04_17:07:14_832301	16.9	10	121	140.3333333333	-122	0		284
2014-01-04_17:07:14_840581	17	10	121	130.6666666667	-122	0		284
2014-01-04_17:07:14_848864	17.1	-4	185	142.3333333333	-279	0		284
2014-01-04_17:07:14_857124	17.2	-4	185	163.6666666667	-279	0		285
2014-01-04_17:07:14_865386	17.3	101	149	173	-412	0		285
2014-01-04_17:07:14_873624	17.4	101	149	161	-412	0		286
2014-01-04_17:07:14_881926	17.5	101	149	149	-412	0		286
2014-01-04_17:07:14_890223	17.6	110	186	161.3333333333	-349	0		286
2014-01-04_17:07:14_898526	17.7	110	186	173.6666666667	-349	0		287
2014-01-04_17:07:14_906794	17.8	51	166	179.3333333333	-251	0		287
2014-01-04_17:07:14_915113	17.9	51	166	172.6666666667	-251	0		288
2014-01-04_17:07:14_923409	18	81	152	161.3333333333	-89	0		288
2014-01-04_17:07:14_931746	18.1	81	152	156.6666666667	-89	0		288
2014-01-04_17:07:14_940058	18.2	81	152	152	-89	0		289
2014-01-04_17:07:14_948369	18.3	-96	151	151.6666666667	-41	0		289
2014-01-04_17:07:14_956678	18.4	-96	151	151.3333333333	-41	0		289
2014-01-04_17:07:14_964917	18.5	2	172	158	-244	0		290
2014-01-04_17:07:14_973205	18.6	2	172	165	-244	0		290
2014-01-04_17:07:14_981565	18.7	99	129	157.6666666667	-400	0		291
2014-01-04_17:07:14_989858	18.8	99	129	143.3333333333	-400	0		291
2014-01-04_17:07:14_998153	18.9	99	129	129	-400	0		291
2014-01-04_17:07:15_006579	19	5	221	159.6666666667	-352	0		292
2014-01-04_17:07:15_014874	19.1	5	221	190.3333333333	-352	0		292
2014-01-04_17:07:15_023183	19.2	73	175	205.6666666667	-294	0		292
2014-01-04_17:07:15_031469	19.3	73	175	190.3333333333	-294	0		293
2014-01-04_17:07:15_039750	19.4	-17	75	141.6666666667	-152	0		293
2014-01-04_17:07:15_048020	19.5	-17	75	108.3333333333	-152	0		294
2014-01-04_17:07:15_056275	19.6	-17	75	75	-152	0		294
2014-01-04_17:07:15_064510	19.7	-35	89	79.6666666667	-50	0		294
2014-01-04_17:07:15_072870	19.8	-35	89	84.3333333333	-50	0		295
2014-01-04_17:07:15_081173	19.9	58	215	131	-40	0		295
2014-01-04_17:07:15_089503	20	58	215	173	-40	0		296
2014-01-04_17:07:15_097768	20.1	58	215	215	-40	0		296
2014-01-04_17:07:15_106108	20.2	-141	229	219.6666666667	-82	0		296
2014-01-04_17:07:15_114808	20.3	-141	229	224.3333333333	-82	0		297
2014-01-04_17:07:15_123619	20.4	-82	140	199.3333333333	-202	0		297
2014-01-04_17:07:15_131933	20.5	-82	140	169.6666666667	-202	0		297
2014-01-04_17:07:15_140247	20.6	55	141	140.3333333333	-245	0		298
2014-01-04_17:07:15_148567	20.7	55	141	140.6666666667	-245	0		298
2014-01-04_17:07:15_156834	20.8	51	155	145.6666666667	-402	0		299
2014-01-04_17:07:15_165118	20.9	51	155	150.3333333333	-402	0		299
2014-01-04_17:07:15_173486	21	51	155	155	-402	0		299
2014-01-04_17:07:15_181774	21.1	63	179	163	-397	0		300
2014-01-04_17:07:15_190054	21.2	63	179	171	-397	0		300
2014-01-04_17:07:15_198336	21.3	96	132	163.3333333333	-368	0		300
2014-01-04_17:07:15_206642	21.4	96	132	147.6666666667	-368	0		301
2014-01-04_17:07:15_214900	21.5	184	120	128	-399	0		301
2014-01-04_17:07:15_223219	21.6	184	120	124	-399	0		302
2014-01-04_17:07:15_231457	21.7	184	120	120	-399	0		302
2014-01-04_17:07:15_244863	21.8	158	184	141.3333333333	-301	0		302
2014-01-04_17:07:15_253530	21.9	158	184	162.6666666667	-301	0		303
2014-01-04_17:07:15_262205	22	86	125	164.3333333333	-211	0		303
2014-01-04_17:07:15_270580	22.1	86	125	144.6666666667	-211	0		303
2014-01-04_17:07:15_278886	22.2	-40	212	154	-119	0		304
2014-01-04_17:07:15_287150	22.3	-40	212	183	-119	0		304
2014-01-04_17:07:15_295418	22.4	-62	235	219.6666666667	-83	0		305
2014-01-04_17:07:15_303694	22.5	-62	235	227.3333333333	-83	0		305
2014-01-04_17:07:15_311971	22.6	-62	235	235	-83	0		305
2014-01-04_17:07:15_320815	22.7	-72	157	209	-97	0		306
2014-01-04_17:07:15_329385	22.8	-72	157	183	-97	0		306
2014-01-04_17:07:15_337625	22.9	-24	97	137	40	0		307
2014-01-04_17:07:15_346041	23	-24	97	117	40	0		307
2014-01-04_17:07:15_354310	23.1	2	189	127.6666666667	-83	0		307
2014-01-04_17:07:15_362574	23.2	2	189	158.3333333333	-83	0		308
2014-01-04_17:07:15_370861	23.3	25	113	163.6666666667	-18	0		308
2014-01-04_17:07:15_379132	23.4	25	113	138.3333333333	-18	0		308
2014-01-04_17:07:15_387405	23.5	25	113	113	-18	0		309
2014-01-04_17:07:15_395717	23.6	-23	238	154.6666666667	-104	0		309
2014-01-04_17:07:15_404074	23.7	-23	238	196.3333333333	-104	0		310
2014-01-04_17:07:15_412370	23.8	-13	191	222.3333333333	-69	0		310
2014-01-04_17:07:15_420860	23.9	-13	191	206.6666666667	-69	0		310
2014-01-04_17:07:15_430420	24	-36	189	190.3333333333	-120	0		311
2014-01-04_17:07:15_438763	24.1	-36	189	189.6666666667	-120	0		311
2014-01-04_17:07:15_447038	24.2	-36	189	189	-120	0		311
2014-01-04_17:07:15_455330	24.3	-44	203	193.6666666667	-108	0		312
2014-01-04_17:07:15_463586	24.4	-44	203	198.3333333333	-108	0		312
2014-01-04_17:07:15_471863	24.5	-20	128	178	-34	0		313
2014-01-04_17:07:15_480146	24.6	-20	128	153	-34	0		313
2014-01-04_17:07:15_488428	24.7	-39	151	135.6666666667	-27	0		313
2014-01-04_17:07:15_496693	24.8	-39	151	143.3333333333	-27	0		314
2014-01-04_17:07:15_504916	24.9	-39	151	151	-27	0		314
2014-01-04_17:07:15_513186	25	-46	166	156	-157	0		315
2014-01-04_17:07:15_521471	25.1	-46	166	161	-157	0		315
2014-01-04_17:07:15_529786	25.2	-159	121	151	146	0		315
2014-01-04_17:07:15_538040	25.3	-159	121	136	146	0		316
2014-01-04_17:07:15_546399	25.4	-19	141	127.6666666667	-207	0		316
2014-01-04_17:07:15_554679	25.5	-19	141	134.3333333333	-207	0		316
2014-01-04_17:07:15_562945	25.6	-19	141	141	-207	0		317
2014-01-04_17:07:15_571223	25.7	-56	104	128.6666666667	-59	0		317
2014-01-04_17:07:15_579544	25.8	-56	104	116.3333333333	-59	0		318
2014-01-04_17:07:15_588748	25.9	40	52	86.6666666667	-75	0		318
2014-01-04_17:07:15_597076	26	40	52	69.3333333333	-75	0		318
2014-01-04_17:07:15_605429	26.1	136	80	61.3333333333	-383	0		319
2014-01-04_17:07:15_613728	26.2	136	80	70.6666666667	-383	0		319
2014-01-04_17:07:15_622022	26.3	136	80	80	-383	0		319
2014-01-04_17:07:15_630433	26.4	259	95	85	-370	0		320
2014-01-04_17:07:15_638750	26.5	259	95	90	-370	0		320
2014-01-04_17:07:15_647014	26.6	151	106	98.6666666667	-377	0		321
2014-01-04_17:07:15_655271	26.7	151	106	102.3333333333	-377	0		321
2014-01-04_17:07:15_663542	26.8	91	152	121.3333333333	-337	0		321
2014-01-04_17:07:15_671803	26.9	91	152	136.6666666667	-337	0		322
2014-01-04_17:07:15_680076	27	91	152	152	-337	0		322
2014-01-04_17:07:15_688350	27.1	83	259	187.6666666667	-292	0		322
2014-01-04_17:07:15_696602	27.2	83	259	223.3333333333	-292	0		323
2014-01-04_17:07:15_704862	27.3	188	127	215	-89	0		323
2014-01-04_17:07:15_713124	27.4	188	127	171	-89	0		324
2014-01-04_17:07:15_721408	27.5	110	154	136	-232	0		324
2014-01-04_17:07:15_730732	27.6	110	154	145	-232	0		324
2014-01-04_17:07:15_739176	27.7	110	154	154	-232	0		325
2014-01-04_17:07:15_747463	27.8	-168	292	200	-257	0		325
2014-01-04_17:07:15_755854	27.9	-168	292	246	-257	0		326
2014-01-04_17:07:15_764202	28	9	266	283.3333333333	-71	0		326
2014-01-04_17:07:15_772488	28.1	9	266	274.6666666667	-71	0		326
2014-01-04_17:07:15_780777	28.2	-24	119	217	111	0		327
2014-01-04_17:07:15_789113	28.3	-24	119	168	111	0		327
2014-01-04_17:07:15_797462	28.4	-24	119	119	111	0		327
2014-01-04_17:07:15_805755	28.5	-119	172	136.6666666667	-116	0		328
2014-01-04_17:07:15_814039	28.6	-119	172	154.3333333333	-116	0		328
2014-01-04_17:07:15_822328	28.7	86	223	189	-241	0		329
2014-01-04_17:07:15_831114	28.8	86	223	206	-241	0		329
2014-01-04_17:07:15_840204	28.9	144	82	176	-468	0		329
2014-01-04_17:07:15_848494	29	144	82	129	-468	0		330
2014-01-04_17:07:15_856780	29.1	144	82	82	-468	0		330
2014-01-04_17:07:15_865044	29.2	63	124	96	-455	0		330
2014-01-04_17:07:15_873270	29.3	63	124	110	-455	0		331
2014-01-04_17:07:15_881551	29.4	169	183	143.6666666667	-219	0		331
2014-01-04_17:07:15_889840	29.5	169	183	163.3333333333	-219	0		332
2014-01-04_17:07:15_898108	29.6	-108	170	178.6666666667	-331	0		332
2014-01-04_17:07:15_906363	29.7	-108	170	174.3333333333	-331	0		332
2014-01-04_17:07:15_914624	29.8	-108	170	170	-331	0		333
2014-01-04_17:07:15_922912	29.9	103	217	185.6666666667	139	0		333
2014-01-04_17:07:15_931138	30	103	217	201.3333333333	139	0		334
2014-01-04_17:07:15_939591	30.1	-124	117	183.6666666667	35	0		334
2014-01-04_17:07:15_948013	30.2	-124	117	150.3333333333	35	0		334
2014-01-04_17:07:15_956325	30.3	143	157	130.3333333333	-376	0		335
2014-01-04_17:07:15_964589	30.4	143	157	143.6666666667	-376	0		335
2014-01-04_17:07:15_972879	30.5	143	157	157	-376	0		335
2014-01-04_17:07:15_981183	30.6	11	13	109	-294	0		336
2014-01-04_17:07:15_989577	30.7	11	13	61	-294	0		336
2014-01-04_17:07:15_997854	30.8	221	146	57.3333333333	-512	0		337
2014-01-04_17:07:16_006116	30.9	221	146	101.6666666667	-512	0		337
2014-01-04_17:07:16_014409	31	-136	210	167.3333333333	-36	0		337
2014-01-04_17:07:16_022683	31.1	-136	210	188.6666666667	-36	0		338
2014-01-04_17:07:16_035350	31.2	-136	210	210	-36	0		338
2014-01-04_17:07:16_044370	31.3	143	206	208.6666666667	-40	0		338
2014-01-04_17:07:16_052713	31.4	-173	109	175	-60	0		339
2014-01-04_17:07:16_061065	31.5	-173	109	141.3333333333	-60	0		339
2014-01-04_17:07:16_069472	31.6	-173	109	109	-60	0		340
2014-01-04_17:07:16_077781	31.7	106	112	110	-225	0		340
2014-01-04_17:07:16_086124	31.8	106	112	111	-225	0		340
2014-01-04_17:07:16_094398	31.9	29	37	87	-392	0		341
2014-01-04_17:07:16_102729	32	29	37	62	-392	0		341
2014-01-04_17:07:16_110982	32.1	50	86	53.3333333333	-92	0		341
2014-01-04_17:07:16_119252	32.2	50	86	69.6666666667	-92	0		342
2014-01-04_17:07:16_127498	32.3	50	86	86	-92	0		342
2014-01-04_17:07:16_135777	32.4	-94	117	96.3333333333	-135	0		343
2014-01-04_17:07:16_144103	32.5	-94	117	106.6666666667	-135	0		343
2014-01-04_17:07:16_152387	32.6	-147	214	149.3333333333	64	0		343
2014-01-04_17:07:16_160688	32.7	-147	214	181.6666666667	64	0		344
2014-01-04_17:07:16_168966	32.8	60	140	189.3333333333	-129	0		344
2014-01-04_17:07:16_177226	32.9	60	140	164.6666666667	-129	0		345
2014-01-04_17:07:16_185479	33	60	140	140	-129	0		345
2014-01-04_17:07:16_193733	33.1	74	-126	51.3333333333	-356	0		345
2014-01-04_17:07:16_201994	33.2	74	-126	-37.3333333333	-356	0		346
2014-01-04_17:07:16_210255	33.3	9	100	-50.6666666667	-203	0		346
2014-01-04_17:07:16_218522	33.4	9	100	24.6666666667	-203	0		346
2014-01-04_17:07:16_226764	33.5	9	100	100	-203	0		347
2014-01-04_17:07:16_235011	33.6	123	271	157	-8	0		347
2014-01-04_17:07:16_243653	33.7	123	271	214	-8	0		348
2014-01-04_17:07:16_251998	33.8	6	-120	140.6666666667	59	0		348
2014-01-04_17:07:16_260282	33.9	6	-120	10.3333333333	59	0		348
2014-01-04_17:07:16_268602	34	81	193	-15.6666666667	-512	0		349
2014-01-04_17:07:16_276881	34.1	81	193	88.6666666667	-512	0		349
2014-01-04_17:07:16_285169	34.2	81	193	193	-512	0		349
2014-01-04_17:07:16_293504	34.3	51	51	145.6666666667	-120	0		350
2014-01-04_17:07:16_301809	34.4	51	51	98.3333333333	-120	0		350
2014-01-04_17:07:16_310068	34.5	29	240	114	-113	0		351
2014-01-04_17:07:16_318379	34.6	29	240	177	-113	0		351
2014-01-04_17:07:16_326707	34.7	212	68	182.6666666667	-364	0		351
2014-01-04_17:07:16_334921	34.8	212	68	125.3333333333	-364	0		352
2014-01-04_17:07:16_344027	34.9	212	68	68	-364	0		352
2014-01-04_17:07:16_352350	35	125	44	60	-483	0		353
2014-01-04_17:07:16_360665	35.1	125	44	52	-483	0		353
2014-01-04_17:07:16_368951	35.2	-51	113	67	-151	0		353
2014-01-04_17:07:16_377211	35.3	-51	113	90	-151	0		354
2014-01-04_17:07:16_385469	35.4	-216	24	83.3333333333	-47	0		354
2014-01-04_17:07:16_393737	35.5	-216	24	53.6666666667	-47	0		354
2014-01-04_17:07:16_402003	35.6	-216	24	24	-47	0		355
2014-01-04_17:07:16_410265	35.7	-170	148	65.3333333333	-284	0		355
2014-01-04_17:07:16_418537	35.8	-170	148	106.6666666667	-284	0		356
2014-01-04_17:07:16_426794	35.9	52	305	200.3333333333	-300	0		356
2014-01-04_17:07:16_435051	36	52	305	252.6666666667	-300	0		356
2014-01-04_17:07:16_443321	36.1	-47	317	309	-211	0		357
2014-01-04_17:07:16_451635	36.2	-47	317	313	-211	0		357
2014-01-04_17:07:16_460034	36.3	-47	317	317	-211	0		357
2014-01-04_17:07:16_468356	36.4	-359	-112	174	-269	0		358
2014-01-04_17:07:16_476659	36.5	-359	-112	31	-269	0		358
2014-01-04_17:07:16_484939	36.6	103	-44	-89.3333333333	-372	0		359
2014-01-04_17:07:16_493211	36.7	103	-44	-66.6666666667	-372	0		359
2014-01-04_17:07:16_501512	36.8	-33	87	-0.3333333333	-328	0		359
2014-01-04_17:07:16_509798	36.9	-33	87	43.3333333333	-328	0		360
2014-01-04_17:07:16_518099	37	-33	87	87	-328	0		360
2014-01-04_17:07:16_526369	37.1	59	203	125.6666666667	-64	0		360
2014-01-04_17:07:16_534681	37.2	59	203	164.3333333333	-64	0		361
2014-01-04_17:07:16_542931	37.3	-75	13	139.6666666667	-303	0		361
2014-01-04_17:07:16_551295	37.4	-75	13	76.3333333333	-303	0		362
2014-01-04_17:07:16_560091	37.5	-188	128	51.3333333333	-12	0		362
2014-01-04_17:07:16_568419	37.6	-188	128	89.6666666667	-12	0		362
2014-01-04_17:07:16_576680	37.7	-188	128	128	-12	0		363
2014-01-04_17:07:16_584960	37.8	98	73	109.6666666667	134	0		363
2014-01-04_17:07:16_593567	37.9	98	73	91.3333333333	134	0		364
2014-01-04_17:07:16_601860	38	72	122	89.3333333333	-253	0		364
2014-01-04_17:07:16_610129	38.1	72	122	105.6666666667	-253	0		364
2014-01-04_17:07:16_618412	38.2	-32	-28	72	-225	0		365
2014-01-04_17:07:16_626652	38.3	-32	-28	22	-225	0		365
2014-01-04_17:07:16_634907	38.4	-32	-28	-28	-225	0		365
2014-01-04_17:07:16_643175	38.5	136	63	2.3333333333	-147	0		366
2014-01-04_17:07:16_652320	38.6	136	63	32.6666666667	-147	0		366
2014-01-04_17:07:16_660690	38.7	-26	93	73	-241	0		367
2014-01-04_17:07:16_669041	38.8	-26	93	83	-241	0		367
2014-01-04_17:07:16_677307	38.9	273	-46	46.6666666667	-441	0		367
2014-01-04_17:07:16_685646	39	273	-46	0.3333333333	-441	0		368
2014-01-04_17:07:16_693916	39.1	273	-46	-46	-441	0		368
2014-01-04_17:07:16_702186	39.2	124	96	1.3333333333	-91	0		368
2014-01-04_17:07:16_710441	39.3	124	96	48.6666666667	-91	0		369
2014-01-04_17:07:16_718757	39.4	107	75	89	-214	0		369
2014-01-04_17:07:16_727005	39.5	107	75	82	-214	0		370
2014-01-04_17:07:16_735235	39.6	166	97	82.3333333333	-377	0		370
2014-01-04_17:07:16_743516	39.7	166	97	89.6666666667	-377	0		370
2014-01-04_17:07:16_752106	39.8	166	97	97	-377	0		371
2014-01-04_17:07:16_761014	39.9	59	225	139.6666666667	-57	0		371
2014-01-04_17:07:16_769305	40	59	225	182.3333333333	-57	0		372
2014-01-04_17:07:16_777557	40.1	-37	125	191.6666666667	-246	0		372
2014-01-04_17:07:16_785878	40.2	-37	125	158.3333333333	-246	0		372
2014-01-04_17:07:16_794150	40.3	202	126	125.3333333333	-382	0		373
2014-01-04_17:07:16_802419	40.4	202	126	125.6666666667	-382	0		373
2014-01-04_17:07:16_810682	40.5	202	126	126	-382	0		373
2014-01-04_17:07:16_818954	40.6	231	82	111.3333333333	-198	0		374
2014-01-04_17:07:16_827204	40.7	231	82	96.6666666667	-198	0		374
2014-01-04_17:07:16_835461	40.8	150	39	67.6666666667	-284	0		375
2014-01-04_17:07:16_843732	40.9	150	39	53.3333333333	-284	0		375
2014-01-04_17:07:16_852083	41	202	-22	18.6666666667	-415	0		375
2014-01-04_17:07:16_860445	41.1	202	-22	-1.6666666667	-415	0		376
2014-01-04_17:07:16_868757	41.2	202	-22	-22	-415	0		376
2014-01-04_17:07:16_877003	41.3	22	64	6.6666666667	-71	0		376
2014-01-04_17:07:16_885288	41.4	22	64	35.3333333333	-71	0		377
2014-01-04_17:07:16_893647	41.5	-37	108	78.6666666667	-366	0		377
2014-01-04_17:07:16_901932	41.6	-37	108	93.3333333333	-366	0		378
2014-01-04_17:07:16_910202	41.7	80	173	129.6666666667	-512	0		378
2014-01-04_17:07:16_918501	41.8	80	173	151.3333333333	-512	0		378
2014-01-04_17:07:16_926793	41.9	80	173	173	-512	0		379
2014-01-04_17:07:16_935005	42	-111	154	166.6666666667	-174	0		379
2014-01-04_17:07:16_943266	42.1	-111	154	160.3333333333	-174	0		379
2014-01-04_17:07:16_951535	42.2	-23	206	171.3333333333	-325	0		380
2014-01-04_17:07:16_960277	42.3	-23	206	188.6666666667	-325	0		380
2014-01-04_17:07:16_968545	42.4	22	208	206.6666666667	40	0		381
2014-01-04_17:07:16_976814	42.5	22	208	207.3333333333	40	0		381
2014-01-04_17:07:16_985077	42.6	22	208	208	40	0		381
2014-01-04_17:07:16_993330	42.7	234	149	188.3333333333	-257	0		382
2014-01-04_17:07:17_001561	42.8	234	149	168.6666666667	-257	0		382
2014-01-04_17:07:17_010236	42.9	213	72	123.3333333333	-456	0		383
2014-01-04_17:07:17_018550	43	213	72	97.6666666667	-456	0		383
2014-01-04_17:07:17_026811	43.1	243	219	121	-103	0		383
2014-01-04_17:07:17_035078	43.2	243	219	170	-103	0		384
2014-01-04_17:07:17_043353	43.3	243	219	219	-103	0		384
2014-01-04_17:07:17_051652	43.4	103	-82	118.6666666667	-430	0		384
2014-01-04_17:07:17_061157	43.5	103	-82	18.3333333333	-430	0		385
2014-01-04_17:07:17_069605	43.6	175	99	-21.6666666667	-246	0		385
2014-01-04_17:07:17_077948	43.7	175	99	38.6666666667	-246	0		386
2014-01-04_17:07:17_086234	43.8	8	190	129.3333333333	-177	0		386
2014-01-04_17:07:17_094521	43.9	8	190	159.6666666667	-177	0		386
2014-01-04_17:07:17_102812	44	8	190	190	-177	0		387
2014-01-04_17:07:17_111072	44.1	-77	126	168.6666666667	-307	0		387
2014-01-04_17:07:17_119327	44.2	-77	126	147.3333333333	-307	0		387
2014-01-04_17:07:17_127573	44.3	-108	-21	77	138	0		388
2014-01-04_17:07:17_135919	44.4	-108	-21	28	138	0		388
2014-01-04_17:07:17_144197	44.5	32	-42	-28	20	0		389
2014-01-04_17:07:17_152450	44.6	32	-42	-35	20	0		389
2014-01-04_17:07:17_160704	44.7	32	-42	-42	20	0		389
2014-01-04_17:07:17_169338	44.8	140	-33	-39	-385	0		390
2014-01-04_17:07:17_177643	44.9	140	-33	-36	-385	0		390
2014-01-04_17:07:17_185969	45	71	119	17.6666666667	19	0		391
2014-01-04_17:07:17_194221	45.1	71	119	68.3333333333	19	0		391
2014-01-04_17:07:17_202491	45.2	-85	82	106.6666666667	-504	0		391
2014-01-04_17:07:17_210766	45.3	-85	82	94.3333333333	-504	0		392
2014-01-04_17:07:17_219079	45.4	-85	82	82	-504	0		392
2014-01-04_17:07:17_227337	45.5	-13	80	81.3333333333	-169	0		392
2014-01-04_17:07:17_235584	45.6	-13	80	80.6666666667	-169	0		393
2014-01-04_17:07:17_243952	45.7	-16	-35	41.6666666667	-215	0		393
2014-01-04_17:07:17_252214	45.8	-16	-35	3.3333333333	-215	0		394
2014-01-04_17:07:17_260476	45.9	285	102	10.6666666667	-368	0		394
2014-01-04_17:07:17_269057	46	285	102	56.3333333333	-368	0		394
2014-01-04_17:07:17_277369	46.1	285	102	102	-368	0		395
2014-01-04_17:07:17_285734	46.2	-98	138	114	-234	0		395
2014-01-04_17:07:17_294027	46.3	-98	138	126	-234	0		395
2014-01-04_17:07:17_302318	46.4	-73	-36	80	-305	0		396
2014-01-04_17:07:17_310676	46.5	-73	-36	22	-305	0		396
2014-01-04_17:07:17_318956	46.6	254	207	45	-291	0		397
2014-01-04_17:07:17_327209	46.7	254	207	126	-291	0		397
2014-01-04_17:07:17_335425	46.8	254	207	207	-291	0		397
2014-01-04_17:07:17_343689	46.9	100	-80	111.3333333333	-258	0		398
