datetime	reltime	speed	adxl_x	adxl_y	adxl_z	mpu_x	x2	mpu_y	y2	mpu_z	gx	gy	gz	yaw	pitch	roll	d	speed_real	
2014-02-01_17:09:18_760237	115884.703125	1.1	41	124	-220	-0.5986328125	-29.931640625	0.1760253906	8.8012695313	0.7529296875	-2.7709923664	2.7328244275	0.4961832061	0	0	0	49.3	224	
2014-02-01_17:09:18_872585	127119.203125	1.2	95	194	-177	-0.6433105469	-32.1655273438	0.1127929688	5.6396484375	0.2895507813	-3.0839694656	3.1603053435	-0.9312977099	0	0	0	15.57	224	
2014-02-01_17:09:18_985401	138400.90625	1.3	116	184	-222	-0.4982910156	-24.9145507813	0.0673828125	3.369140625	0.7553710938	-6.1908396947	1.427480916	-1	0	0	0	15.56	224	
2014-02-01_17:09:19_098643	149725	1.4	108	186	-226	-0.556640625	-27.83203125	0.1591796875	7.958984375	0.9155273438	-3.5572519084	3.0458015267	-0.213740458	0	0	0	16.18	225	
2014-02-01_17:09:19_211141	160975	1.5	64	210	-220	-0.5812988281	-29.0649414063	-0.0244140625	-1.220703125	0.8793945313	-2.9083969466	4.1374045802	-0.7328244275	0	0	0	16.05	225	
2014-02-01_17:09:19_324938	172381.109375	1.6	84	179	-238	-0.5817871094	-29.0893554688	0.0290527344	1.4526367188	0.5634765625	-3.0381679389	2.8167938931	-1.9160305344	0	0	0	25.13	226	
2014-02-01_17:09:19_438831	183780.3125	1.7	76	227	-264	-0.4775390625	-23.876953125	0.1015625	5.078125	0.7858886719	-6.6183206107	2.0839694656	-0.9923664122	0	0	0	26.22	226	
2014-02-01_17:09:19_553075	195168.515625	1.8	75	126	-220	-0.6713867188	-33.5693359375	0.0480957031	2.4047851563	0.7062988281	-3.0916030534	2.3740458015	-0.6335877863	0	0	0	24.75	226	
2014-02-01_17:09:19_665572	206425.390625	1.9	64	118	-209	-0.6120605469	-30.6030273438	0.0578613281	2.8930664063	0.9555664063	-2.7099236641	2.7480916031	0	0	0	0	16.91	227	
2014-02-01_17:09:19_779723	217833.109375	2	86	140	-242	-0.5151367188	-25.7568359375	0.1496582031	7.4829101563	0.724609375	-2.6259541985	4.0610687023	-0.8702290076	0	0	0	25.04	227	
2014-02-01_17:09:19_892743	229135.09375	2.1	-13	117	-220	-0.4780273438	-23.9013671875	0.0895996094	4.4799804688	1.0710449219	0.3053435115	3.0229007634	-0.786259542	0	0	0	24.58	227	
2014-02-01_17:09:20_006321	240493.40625	2.2	-4	153	-219	-0.5434570313	-27.1728515625	0.0090332031	0.4516601563	0.9479980469	-7.3053435115	3.8244274809	-0.6641221374	0	0	0	25.14	228	
2014-02-01_17:09:20_119209	251781.40625	2.3	115	138	-227	-0.5588378906	-27.9418945313	0.0952148438	4.7607421875	0.9760742188	-1.2061068702	2.6870229008	-0.427480916	0	0	0	24.9	228	
2014-02-01_17:09:20_232658	263126.296875	2.4	67	191	-197	-0.5673828125	-28.369140625	0.1079101563	5.3955078125	0.6296386719	-3.1603053435	2.6564885496	0.2519083969	0	0	0	24.23	229	
2014-02-01_17:09:20_345360	274424.71875	2.5	24	130	-216	-0.5693359375	-28.466796875	0.0737304688	3.6865234375	0.6496582031	-1.6946564885	2.0687022901	-0.7557251908	0	0	0	25.94	229	
2014-02-01_17:09:20_459359	285828.515625	2.6	97	172	-223	-0.4951171875	-24.755859375	0.0786132813	3.9306640625	0.7014160156	-0.6106870229	2.6564885496	-0.1603053435	0	0	0	25.89	229	
2014-02-01_17:09:20_572472	297108.09375	2.7	43	203	-226	-0.5522460938	-27.6123046875	0.0803222656	4.0161132813	0.7409667969	-3.641221374	2.3816793893	-0.9694656489	0	0	0	25.11	230	
2014-02-01_17:09:20_685918	308485.8125	2.8	25	212	-226	-0.5727539063	-28.6376953125	0.0764160156	3.8208007813	0.9919433594	-2.641221374	3.3129770992	-1.213740458	0	0	0	24.6	230	
2014-02-01_17:09:20_799211	319781.203125	2.9	73	172	-228	-0.5270996094	-26.3549804688	0.0971679688	4.8583984375	0.8728027344	-2.8244274809	2.6564885496	-0.9007633588	0	0	0	24.87	231	
2014-02-01_17:09:20_912680	331129.109375	3	27	111	-220	-0.5649414063	-28.2470703125	0.1015625	5.078125	0.8537597656	-5.1374045802	2.1679389313	-0.0458015267	0	0	0	25.18	231	
2014-02-01_17:09:21_025579	342418.71875	3.1	39	200	-226	-0.5322265625	-26.611328125	0.0922851563	4.6142578125	0.8161621094	-1.4427480916	1.0076335878	1.9160305344	0	0	0	21.47	231	
2014-02-01_17:09:21_139316	353792.609375	3.2	12	130	-205	-0.5263671875	-26.318359375	0.0725097656	3.6254882813	0.6008300781	-2.2900763359	5.0076335878	-0.9694656489	0	0	0	25.08	232	
2014-02-01_17:09:21_252166	365076.796875	3.3	43	185	-212	-0.5661621094	-28.3081054688	0.0764160156	3.8208007813	0.7600097656	-4.2061068702	3.7709923664	-0.6106870229	0	0	0	24.89	232	
2014-02-01_17:09:21_365691	376429.3125	3.4	40	192	-253	-0.5205078125	-26.025390625	0.1315917969	6.5795898438	0.6499023438	-3.0229007634	1.0916030534	-0.7022900763	0	0	0	25.15	232	
2014-02-01_17:09:21_477923	387653.203125	3.5	8	156	-228	-0.5078125	-25.390625	0.0837402344	4.1870117188	0.7729492188	-6.1679389313	2.3053435115	-0.1221374046	0	0	0	15.4	233	
2014-02-01_17:09:21_590871	398947.796875	3.6	37	163	-192	-0.4536132813	-22.6806640625	0.0554199219	2.7709960938	1.1357421875	-4.9389312977	2.7099236641	-1.1603053435	0	0	0	16.76	233	
2014-02-01_17:09:21_703394	410199.796875	3.7	56	125	-211	-0.615234375	-30.76171875	0.0261230469	1.3061523438	0.8659667969	-2.9160305344	3.2748091603	-0.3511450382	0	0	0	17.12	234	
2014-02-01_17:09:21_816366	421497.5	3.8	47	141	-175	-0.4733886719	-23.6694335938	0.0981445313	4.9072265625	0.9362792969	-4.4351145038	2.9160305344	-0.7557251908	0	0	0	16.03	234	
2014-02-01_17:09:21_929510	432810.890625	3.9	72	164	-231	-0.5541992188	-27.7099609375	-0.0134277344	-0.6713867188	0.9392089844	-5.6641221374	2.4503816794	-0.9083969466	0	0	0	25.91	234	
2014-02-01_17:09:22_043047	444198.90625	4	44	164	-221	-0.6293945313	-31.4697265625	0.2155761719	10.7788085938	0.8239746094	-4.0305343511	3.4351145038	1.8778625954	0	0	0	16.83	235	
2014-02-01_17:09:22_155581	455419.109375	4.1	17	103	-211	-0.5983886719	-29.9194335938	0.0891113281	4.4555664063	0.7272949219	-2.9160305344	2.1221374046	-0.5114503817	0	0	0	16.01	235	
2014-02-01_17:09:22_269291	466822.40625	4.2	55	128	-218	-0.4936523438	-24.6826171875	0.060546875	3.02734375	0.9431152344	-3.3511450382	2.6564885496	-0.7251908397	0	0	0	25.43	235	
2014-02-01_17:09:22_383983	478258.90625	4.3	33	141	-196	-0.5495605469	-27.4780273438	0.1057128906	5.2856445313	0.5207519531	-2.5267175573	1.9847328244	-0.9389312977	0	0	0	49.52	236	
2014-02-01_17:09:22_497547	489616.09375	4.4	20	151	-187	-0.5783691406	-28.9184570313	0.0236816406	1.1840820313	0.8095703125	-4.1526717557	4.6870229008	-0.7786259542	0	0	0	26.06	236	
2014-02-01_17:09:22_610449	500905.203125	4.5	29	165	-235	-0.4919433594	-24.5971679688	0.0703125	3.515625	0.8129882813	-3.0229007634	3.6030534351	-0.9160305344	0	0	0	24.26	237	
2014-02-01_17:09:22_723380	512232.296875	4.6	20	184	-212	-0.5539550781	-27.6977539063	0.0031738281	0.1586914063	1.0290527344	-3.7938931298	2.4351145038	-0.6946564885	0	0	0	15.98	237	
2014-02-01_17:09:22_838344	523732.703125	4.7	103	182	-205	-0.5222167969	-26.1108398438	0.0593261719	2.9663085938	1.0180664063	-3.4122137405	5.3282442748	-1.1984732824	0	0	0	48.69	237	
2014-02-01_17:09:22_952915	535153.90625	4.8	39	174	-219	-0.5183105469	-25.9155273438	0.1909179688	9.5458984375	0.4641113281	-2.2519083969	2.0763358779	-0.6106870229	0	0	0	24.31	238	
2014-02-01_17:09:23_065798	546446	4.9	99	180	-206	-0.4348144531	-21.7407226563	0.021484375	1.07421875	0.6259765625	-3.3816793893	1.2824427481	-0.7099236641	0	0	0	24	238	
2014-02-01_17:09:23_178994	557761.3125	5	36	152	-249	-0.5236816406	-26.1840820313	0.0383300781	1.9165039063	0.6662597656	-7.2519083969	1.9541984733	-0.5267175573	0	0	0	16.71	239	
2014-02-01_17:09:23_291563	569017.21875	5.1	41	156	-237	-0.6801757813	-34.0087890625	0.0776367188	3.8818359375	0.587890625	-1.893129771	3.106870229	-0.1603053435	0	0	0	16.03	239	
2014-02-01_17:09:23_405063	580367.109375	5.2	5	161	-232	-0.5361328125	-26.806640625	0.0883789063	4.4189453125	0.7211914063	-7.7022900763	2.2748091603	-0.7480916031	0	0	0	25.04	239	
2014-02-01_17:09:23_517646	591625.890625	5.3	30	178	-171	-0.5727539063	-28.6376953125	0.0422363281	2.1118164063	0.2492675781	0.8167938931	3.1526717557	-1.2824427481	0	0	0	13.59	240	
2014-02-01_17:09:23_631174	602978.203125	5.4	75	157	-241	-0.6064453125	-30.322265625	0.189453125	9.47265625	1.3168945313	-4.427480916	4.6488549618	-0.2061068702	0	0	0	24.77	240	
2014-02-01_17:09:23_743409	614201.390625	5.5	2	202	-311	-0.4841308594	-24.2065429688	0.1149902344	5.7495117188	0.236328125	-7.2977099237	1.2366412214	-0.4580152672	0	0	0	15.25	240	
2014-02-01_17:09:23_858080	625676.90625	5.6	37	188	-169	-0.5305175781	-26.5258789063	0.1652832031	8.2641601563	0.6408691406	-6.5419847328	0.0839694656	-0.2671755725	0	0	0	38.17	241	
2014-02-01_17:09:23_970425	636902.890625	5.7	11	164	-202	-0.4187011719	-20.9350585938	0.1193847656	5.9692382813	0.6271972656	0.2900763359	1.0687022901	-1.0839694656	0	0	0	15.71	241	
2014-02-01_17:09:24_083351	648196.3125	5.8	49	111	-218	-0.3908691406	-19.5434570313	-0.0327148438	-1.6357421875	0.7976074219	3.6183206107	2.2061068702	-0.9389312977	0	0	0	15	242	
2014-02-01_17:09:24_196247	659485.71875	5.9	56	145	-209	-0.4985351563	-24.9267578125	0.0825195313	4.1259765625	0.40625	4.5801526718	2.0763358779	-1.1221374046	0	0	0	16.73	242	
2014-02-01_17:09:24_309242	670785.109375	6	72	158	-195	-0.4831542969	-24.1577148438	0.1867675781	9.3383789063	0.3557128906	-7.8396946565	1.3511450382	-0.7633587786	0	0	0	15.11	242	
2014-02-01_17:09:24_421731	682033.296875	6.1	81	157	-224	-0.470703125	-23.53515625	-0.1752929688	-8.7646484375	1.3493652344	-7.3358778626	3.4961832061	0.0687022901	0	0	0	16.65	243	
2014-02-01_17:09:24_534689	693329.703125	6.2	39	201	-301	-0.7653808594	-38.2690429688	0.3208007813	16.0400390625	0.427734375	-0.0534351145	5.4503816794	0.0229007634	0	0	0	15.59	243	
2014-02-01_17:09:24_647035	704571.3125	6.3	37	182	-232	-0.3679199219	-18.3959960938	0.1259765625	6.298828125	0.7829589844	-4.1145038168	0.1374045802	-1.0687022901	0	0	0	15.86	243	
2014-02-01_17:09:24_760159	715877.8125	6.4	8	198	-231	-0.4260253906	-21.3012695313	-0.1218261719	-6.0913085938	0.8505859375	-8.1526717557	1.3816793893	-0.2595419847	0	0	0	16.17	244	
2014-02-01_17:09:24_872684	727128.5	6.5	38	126	-162	-0.7438964844	-37.1948242188	0.0764160156	3.8208007813	0.5993652344	-2.7099236641	6.6030534351	-0.2213740458	0	0	0	15.83	244	
2014-02-01_17:09:24_985518	738412.609375	6.6	84	150	-200	-0.5881347656	-29.4067382813	0.2333984375	11.669921875	0.2644042969	-5.4961832061	0.4885496183	-1.0839694656	0	0	0	14.65	245	
2014-02-01_17:09:25_100013	749863.71875	6.7	65	171	-145	-0.5363769531	-26.8188476563	0.1982421875	9.912109375	0.9333496094	3.9770992366	3.8473282443	-0.4503816794	0	0	0	37.69	245	
2014-02-01_17:09:25_212361	761096.609375	6.8	41	111	-142	-0.6840820313	-34.2041015625	0.2622070313	13.1103515625	0.8325195313	1.0229007634	5.4045801527	-0.6717557252	0	0	0	15.57	245	
2014-02-01_17:09:25_325888	772450.890625	6.9	6	207	-315	-0.4230957031	-21.1547851563	0.0500488281	2.5024414063	1.4733886719	-8.3740458015	2.9389312977	-1.1374045802	0	0	0	15.37	246	
2014-02-01_17:09:25_438936	783814.90625	7	55	141	-102	-0.5109863281	-25.5493164063	-0.0368652344	-1.8432617188	1.1284179688	-5.893129771	1.9618320611	-0.1679389313	0	0	0	15.28	246	
2014-02-01_17:09:25_552787	795139.71875	7.1	81	198	-278	-0.4899902344	-24.4995117188	-0.0998535156	-4.9926757813	0.6550292969	-5.6488549618	1.7633587786	-0.7328244275	0	0	0	15.1	246	
2014-02-01_17:09:25_665544	806414.90625	7.2	101	182	-175	-0.5087890625	-25.439453125	-0.1030273438	-5.1513671875	0.8234863281	-7.0305343511	1.6717557252	-0.5572519084	0	0	0	15.52	247	
2014-02-01_17:09:25_778598	817722.3125	7.3	31	169	-258	-0.4187011719	-20.9350585938	0.1765136719	8.8256835938	0.505859375	-7.1297709924	0.1145038168	-0.6946564885	0	0	0	14.81	247	
2014-02-01_17:09:25_890903	828951.109375	7.4	29	195	-302	-0.5419921875	-27.099609375	0.1262207031	6.3110351563	0.3020019531	-6.3129770992	1.106870229	-1.6259541985	0	0	0	15.28	248	
2014-02-01_17:09:26_004002	840261	7.5	52	158	-257	-0.5134277344	-25.6713867188	0.1723632813	8.6181640625	0.7209472656	-6.1221374046	2.4351145038	-1.0152671756	0	0	0	16.32	248	
2014-02-01_17:09:26_116711	851531.90625	7.6	110	161	-257	-0.3806152344	-19.0307617188	-0.1552734375	-7.763671875	0.8940429688	-7.9541984733	0.6641221374	-0.1679389313	0	0	0	15.23	248	
2014-02-01_17:09:26_229896	862883.609375	7.7	53	205	-372	-0.578125	-28.90625	-0.01171875	-0.5859375	0.6213378906	-8.9389312977	4.7022900763	-1.1374045802	0	0	0	16.59	249	
2014-02-01_17:09:26_342703	874131.296875	7.8	46	100	-179	-0.4721679688	-23.6083984375	0.1271972656	6.3598632813	1.0847167969	4.5190839695	1.8015267176	-1.679389313	0	0	0	15.39	249	
2014-02-01_17:09:26_455723	885466	7.9	66	176	-291	-0.6447753906	-32.2387695313	-0.2141113281	-10.7055664063	0.578125	-6.6488549618	2.8320610687	-0.0992366412	0	0	0	16.07	250	
2014-02-01_17:09:26_569030	896764.109375	8	41	150	-82	-0.6882324219	-34.4116210938	0.2028808594	10.1440429688	0.8952636719	3.2900763359	2.5877862595	-0.2595419847	0	0	0	23.44	250	
2014-02-01_17:09:26_681992	908060.203125	8.1	25	136	-260	-0.5241699219	-26.2084960938	-0.3129882813	-15.6494140625	1.1149902344	-7.9847328244	4.1679389313	-0.3282442748	0	0	0	15.69	250	
2014-02-01_17:09:26_795204	919381.296875	8.2	37	125	-259	-0.6352539063	-31.7626953125	0.1862792969	9.3139648438	1.0063476563	-1.2748091603	1.5954198473	0.0229007634	0	0	0	15.66	251	
2014-02-01_17:09:26_908226	930716.515625	8.3	92	186	-325	-0.5073242188	-25.3662109375	-0.076171875	-3.80859375	1.1237792969	-9.2595419847	0.2442748092	0.8244274809	0	0	0	15.59	251	
2014-02-01_17:09:27_021639	942024.515625	8.4	7	124	-126	-0.5114746094	-25.5737304688	-0.32421875	-16.2109375	1.3647460938	-9.1297709924	5.7786259542	-0.5877862595	0	0	0	29.77	251	
2014-02-01_17:09:27_134548	953347.796875	8.5	70	157	-240	-0.5908203125	-29.541015625	0.2048339844	10.2416992188	1.1889648438	0.2442748092	2.3435114504	-0.786259542	0	0	0	14.98	252	
2014-02-01_17:09:27_249128	964836.90625	8.6	46	163	-278	-0.552734375	-27.63671875	0.1525878906	7.6293945313	0.6389160156	0.6335877863	3.6335877863	-1.2748091603	0	0	0	38.95	252	
2014-02-01_17:09:27_363124	976173.703125	8.7	36	163	-336	-0.7431640625	-37.158203125	0.1516113281	7.5805664063	0.0239257813	-0.1908396947	3.6564885496	-0.572519084	0	0	0	14.18	253	
2014-02-01_17:09:27_475921	987452.71875	8.8	124	139	-170	-0.6467285156	-32.3364257813	-0.1235351563	-6.1767578125	1.2114257813	1.8625954198	3.8702290076	-0.5114503817	0	0	0	14.19	253	
2014-02-01_17:09:27_588916	998752.390625	8.9	29	108	-170	-0.6958007813	-34.7900390625	0.2075195313	10.3759765625	0.1027832031	1.0305343511	4.4045801527	-1.1221374046	0	0	0	16.71	253	
2014-02-01_17:09:27_701282	1009989.109375	9	104	141	-159	-0.4501953125	-22.509765625	-0.1640625	-8.203125	0.9619140625	-5.3282442748	0.1297709924	-1.0839694656	0	0	0	14.13	254	
2014-02-01_17:09:27_814206	1021281.21875	9.1	49	196	-232	-0.6037597656	-30.1879882813	0.0329589844	1.6479492188	1.3139648438	-5.9618320611	2.3664122137	-0.534351145	0	0	0	15.06	254	
2014-02-01_17:09:27_926882	1032548.796875	9.2	-30	149	-291	-0.5971679688	-29.8583984375	0.2919921875	14.599609375	0.8940429688	-4.7786259542	2.3511450382	-0.0381679389	0	0	0	15.52	254	
2014-02-01_17:09:28_040069	1043868.390625	9.3	33	156	-212	-0.4799804688	-23.9990234375	0.1962890625	9.814453125	0.6569824219	3.3816793893	3.4503816794	-0.3129770992	0	0	0	15.95	255	
2014-02-01_17:09:28_152373	1055098.09375	9.4	25	156	-174	-0.7177734375	-35.888671875	-0.0925292969	-4.6264648438	1.5703125	-5.3435114504	3.5038167939	0.4122137405	0	0	0	15.62	255	
2014-02-01_17:09:28_265268	1066387.6875	9.5	107	201	-299	-0.6591796875	-32.958984375	0.0693359375	3.466796875	0.470703125	-6.0687022901	2.5267175573	-0.8854961832	0	0	0	15.28	256	
2014-02-01_17:09:28_378132	1077674.09375	9.6	55	103	-273	-0.6052246094	-30.2612304688	0.1965332031	9.8266601563	0.7482910156	1.0458015267	1.9236641221	1.9083969466	0	0	0	14.4	256	
2014-02-01_17:09:28_490398	1088931.296875	9.7	-23	141	-281	-0.3706054688	-18.5302734375	0.0544433594	2.7221679688	0.9067382813	-4.9160305344	1.2824427481	-0.6946564885	0	0	0	14.57	256	
2014-02-01_17:09:28_603751	1100236.3125	9.8	111	190	-312	-0.6596679688	-32.9833984375	-0.1228027344	-6.1401367188	0.9846191406	-4.6946564885	1.9465648855	-0.2442748092	0	0	0	15.73	257	
2014-02-01_17:09:28_716855	1111547.390625	9.9	-75	99	-296	-0.7507324219	-37.5366210938	0.1823730469	9.1186523438	1.4719238281	-3.5954198473	3.5190839695	1.5954198473	0	0	0	16.44	257	
2014-02-01_17:09:28_829942	1122855.296875	10	145	176	-238	-0.3640136719	-18.2006835938	0.4465332031	22.3266601563	0.8498535156	-5.5877862595	3.7022900763	1.9465648855	0	0	0	14.25	257	
2014-02-01_17:09:28_942179	1134077.296875	10.1	63	156	-294	-0.3798828125	-18.994140625	-0.0209960938	-1.0498046875	1.3090820313	-4.5954198473	3.5954198473	-0.5114503817	0	0	0	14.98	258	
2014-02-01_17:09:29_055171	1145378.390625	10.2	55	193	-167	-0.6916503906	-34.5825195313	-0.0642089844	-3.2104492188	0.3483886719	-3.3893129771	4.8091603053	-2.5954198473	0	0	0	15.13	258	
2014-02-01_17:09:29_167563	1156636.390625	10.3	40	139	-224	-0.6435546875	-32.177734375	-0.2170410156	-10.8520507813	0.2668457031	-6.6870229008	1.5114503817	-1.4427480916	0	0	0	11.51	259	
2014-02-01_17:09:29_280970	1167989.203125	10.4	91	149	-319	-0.4851074219	-24.2553710938	-0.2202148438	-11.0107421875	0.5009765625	-3.3664122137	1.5648854962	-2.1374045802	0	0	0	15.01	259	
2014-02-01_17:09:29_393430	1179203.3125	10.5	37	168	-279	-0.5607910156	-28.0395507813	0.2990722656	14.9536132813	0.8544921875	-7.893129771	3.7633587786	-0.106870229	0	0	0	14.74	259	
2014-02-01_17:09:29_506373	1190538.203125	10.6	98	186	-198	-0.5666503906	-28.3325195313	0.09375	4.6875	0.8759765625	-9.6717557252	1.8244274809	-0.2595419847	0	0	0	16.52	260	
2014-02-01_17:09:29_619555	1201836.40625	10.7	10	147	-194	-0.4916992188	-24.5849609375	0.2080078125	10.400390625	1.4077148438	-6.4122137405	3.9160305344	0.4503816794	0	0	0	14.35	260	
2014-02-01_17:09:29_733144	1213176.09375	10.8	79	153	-323	-0.70703125	-35.3515625	-0.1467285156	-7.3364257813	0.5200195313	-2.4427480916	2.0610687023	-1.5572519084	0	0	0	15.05	261	
2014-02-01_17:09:29_845257	1224386.5	10.9	-100	113	-172	-0.5043945313	-25.2197265625	0.220703125	11.03515625	0.7099609375	-2.1984732824	1.1297709924	0.9160305344	0	0	0	14.11	261	
2014-02-01_17:09:29_958298	1235690.390625	11	-17	158	-175	-0.3759765625	-18.798828125	-0.0383300781	-1.9165039063	1.0322265625	-4.3893129771	3.4580152672	-0.7557251908	0	0	0	14.3	261	
2014-02-01_17:09:30_070835	1246944.5	11.1	35	169	-226	-0.5576171875	-27.880859375	0.2062988281	10.3149414063	0.8679199219	-5.2061068702	3.2671755725	-0.3282442748	0	0	0	15.42	262	
2014-02-01_17:09:30_183716	1258232.703125	11.2	109	147	-204	-0.4929199219	-24.6459960938	0.0056152344	0.2807617188	0.8415527344	-3.7633587786	3.9007633588	1.7022900763	0	0	0	15.05	262	
2014-02-01_17:09:30_295766	1269437	11.3	-8	122	-106	-0.4914550781	-24.5727539063	0.0922851563	4.6142578125	0.8090820313	-0.7022900763	3.4732824427	-0.3282442748	0	0	0	14.69	262	
2014-02-01_17:09:30_408874	1280749.8125	11.4	-16	106	-166	-0.4389648438	-21.9482421875	-0.1682128906	-8.4106445313	0.9621582031	-4.786259542	3.0152671756	-1.1221374046	0	0	0	13.8	263	
2014-02-01_17:09:30_521653	1292026.109375	11.5	98	169	-219	-0.5263671875	-26.318359375	0.0495605469	2.4780273438	0.7629394531	1.8473282443	6.0305343511	0.4580152672	0	0	0	25.11	263	
2014-02-01_17:09:30_634630	1303332.203125	11.6	146	232	-318	-0.5085449219	-25.4272460938	0.1931152344	9.6557617188	1.4562988281	1.2977099237	3.6259541985	-0.0992366412	0	0	0	15.98	264	
2014-02-01_17:09:30_747013	1314568.890625	11.7	89	132	-334	-0.4460449219	-22.3022460938	-0.1708984375	-8.544921875	0.4694824219	-7.1679389313	-0.8778625954	-1.5419847328	0	0	0	15.08	264	
2014-02-01_17:09:30_860404	1325934.09375	11.8	51	159	-307	-0.4738769531	-23.6938476563	0.0063476563	0.3173828125	0.9470214844	-9.0229007634	4.320610687	-0.465648855	0	0	0	14.7	264	
2014-02-01_17:09:30_973088	1337169.21875	11.9	-20	200	-285	-0.5947265625	-29.736328125	0.1479492188	7.3974609375	0.8918457031	-3.3816793893	3.7022900763	-0.6488549618	0	0	0	15.6	265	
2014-02-01_17:09:31_086063	1348467.890625	12	-36	108	-253	-0.4162597656	-20.8129882813	0.0913085938	4.5654296875	0.7690429688	-1.0152671756	2.0992366412	-1.9083969466	0	0	0	15.89	265	
2014-02-01_17:09:31_198252	1359686.109375	12.1	-26	208	-179	-0.4670410156	-23.3520507813	0.177734375	8.88671875	0.7238769531	-3.0458015267	3.0381679389	-0.0229007634	0	0	0	18.19	265	
2014-02-01_17:09:31_311236	1370984.21875	12.2	65	137	-117	-0.4331054688	-21.6552734375	0.0275878906	1.3793945313	0.9360351563	-4.7557251908	2.8091603053	-1.9389312977	0	0	0	15.03	266	
2014-02-01_17:09:31_423385	1382199.296875	12.3	-46	142	-215	-0.421875	-21.09375	0.1457519531	7.2875976563	1.0788574219	-5.0992366412	2.1297709924	-0.1679389313	0	0	0	14.5	266	
2014-02-01_17:09:31_536544	1393516.109375	12.4	52	112	-202	-0.5541992188	-27.7099609375	-0.2509765625	-12.548828125	0.1376953125	-11.3816793893	0.5954198473	-1.5496183206	0	0	0	14.23	267	
2014-02-01_17:09:31_649178	1404778.21875	12.5	-13	121	-140	-0.5471191406	-27.3559570313	0.1577148438	7.8857421875	0.8527832031	-2.1450381679	2.4503816794	0.0305343511	0	0	0	14.98	267	
2014-02-01_17:09:31_762110	1416097.609375	12.6	13	156	-179	-0.5402832031	-27.0141601563	0.2653808594	13.2690429688	0.8107910156	-9.106870229	2.6335877863	1.3129770992	0	0	0	14.67	267	
2014-02-01_17:09:31_874479	1427341.6875	12.7	24	149	-360	-0.5844726563	-29.2236328125	0.0703125	3.515625	0.87890625	-5.2061068702	4.3511450382	-1.8015267176	0	0	0	14.57	268	
2014-02-01_17:09:31_988326	1438693.390625	12.8	118	222	-240	-0.3669433594	-18.3471679688	0.1743164063	8.7158203125	0.6911621094	-3.5954198473	2.9618320611	1.0610687023	0	0	0	15.9	268	
2014-02-01_17:09:32_101179	1449979.015625	12.9	109	233	-220	-0.4484863281	-22.4243164063	0.1472167969	7.3608398438	0.8872070313	-0.6564885496	0.5801526718	-1.4351145038	0	0	0	15.35	269	
2014-02-01_17:09:32_213460	1461206.5	13	37	211	-263	-0.3859863281	-19.2993164063	0.2038574219	10.1928710938	1.2546386719	-4.3893129771	3.2366412214	1.0381679389	0	0	0	14.82	269	
2014-02-01_17:09:32_327126	1472610.984375	13.1	74	217	-167	-0.7741699219	-38.7084960938	0.2043457031	10.2172851563	0.2119140625	-11.2061068702	1.427480916	-0.1526717557	0	0	0	27.63	269	
