datetime	speed	x	y	z	d
2014-01-04_21:12:00_092391	1388869920092.0	26.0	156.0	-204.0	0.0
2014-01-04_21:12:00_099060	1388869920099.0	36.0	158.0	-222.0	0.0
2014-01-04_21:12:00_105802	1388869920106.0	24.0	158.0	-218.0	0.0
2014-01-04_21:12:00_112456	1388869920112.0	26.0	154.0	-224.0	0.0
2014-01-04_21:12:00_119141	1388869920119.0	38.0	156.0	-234.0	0.0
2014-01-04_21:12:00_125882	1388869920126.0	26.0	156.0	-208.0	0.0
2014-01-04_21:12:00_132567	1388869920132.0	28.0	150.0	-218.0	0.0
2014-01-04_21:12:00_139245	1388869920139.0	30.0	158.0	-216.0	0.0
2014-01-04_21:12:00_146066	1388869920146.0	36.0	158.0	-228.0	0.0
2014-01-04_21:12:00_152770	1388869920153.0	10.0	166.0	-220.0	0.0
2014-01-04_21:12:00_159460	1388869920159.0	26.0	154.0	-224.0	0.0
2014-01-04_21:12:00_166151	1388869920166.0	24.0	160.0	-220.0	0.0
2014-01-04_21:12:00_172807	1388869920173.0	30.0	168.0	-214.0	0.0
2014-01-04_21:12:00_179470	1388869920179.0	22.0	150.0	-224.0	0.0
2014-01-04_21:12:00_186172	1388869920186.0	36.0	154.0	-216.0	0.0
2014-01-04_21:12:00_192845	1388869920193.0	20.0	162.0	-224.0	0.0
2014-01-04_21:12:00_199537	1388869920199.0	32.0	160.0	-212.0	0.0
2014-01-04_21:12:00_206220	1388869920206.0	24.0	158.0	-218.0	0.0
2014-01-04_21:12:00_212887	1388869920213.0	32.0	160.0	-222.0	0.0
2014-01-04_21:12:00_219574	1388869920219.0	30.0	154.0	-218.0	0.0
2014-01-04_21:12:00_226263	1388869920226.0	38.0	160.0	-214.0	0.0
2014-01-04_21:12:00_232942	1388869920233.0	26.0	160.0	-228.0	0.0
2014-01-04_21:12:00_239620	1388869920239.0	32.0	158.0	-226.0	0.0
2014-01-04_21:12:00_246303	1388869920246.0	24.0	156.0	-214.0	0.0
2014-01-04_21:12:00_253339	1388869920253.0	32.0	168.0	-222.0	0.0
2014-01-04_21:12:00_260090	1388869920260.0	34.0	142.0	-234.0	0.0
2014-01-04_21:12:00_266851	1388869920267.0	24.0	162.0	-200.0	0.0
2014-01-04_21:12:00_273567	1388869920273.0	30.0	162.0	-252.0	0.0
2014-01-04_21:12:00_280252	1388869920280.0	26.0	144.0	-214.0	0.0
2014-01-04_21:12:00_286925	1388869920287.0	26.0	166.0	-236.0	0.0
2014-01-04_21:12:00_293590	1388869920293.0	22.0	176.0	-224.0	0.0
2014-01-04_21:12:00_300346	1388869920300.0	32.0	150.0	-218.0	0.0
2014-01-04_21:12:00_307055	1388869920307.0	34.0	154.0	-210.0	0.0
2014-01-04_21:12:00_313713	1388869920313.0	26.0	152.0	-210.0	0.0
2014-01-04_21:12:00_320396	1388869920320.0	24.0	166.0	-220.0	0.0
2014-01-04_21:12:00_327094	1388869920327.0	24.0	170.0	-216.0	0.0
2014-01-04_21:12:00_333784	1388869920334.0	30.0	154.0	-224.0	0.0
2014-01-04_21:12:00_340470	1388869920340.0	28.0	160.0	-220.0	0.0
2014-01-04_21:12:00_347189	1388869920347.0	24.0	160.0	-234.0	0.0
2014-01-04_21:12:00_353918	1388869920354.0	26.0	160.0	-224.0	0.0
2014-01-04_21:12:00_360630	1388869920360.0	36.0	156.0	-216.0	0.0
2014-01-04_21:12:00_367321	1388869920367.0	26.0	164.0	-222.0	0.0
2014-01-04_21:12:00_373991	1388869920374.0	30.0	158.0	-200.0	0.0
2014-01-04_21:12:00_380672	1388869920380.0	14.0	158.0	-226.0	0.0
2014-01-04_21:12:00_387388	1388869920387.0	42.0	154.0	-210.0	0.0
2014-01-04_21:12:00_394066	1388869920394.0	22.0	160.0	-240.0	0.0
2014-01-04_21:12:00_400743	1388869920400.0	26.0	156.0	-224.0	0.0
2014-01-04_21:12:00_407438	1388869920407.0	28.0	170.0	-216.0	0.0
2014-01-04_21:12:00_414115	1388869920414.0	16.0	166.0	-218.0	0.0
2014-01-04_21:12:00_420816	1388869920421.0	62.0	154.0	-206.0	0.0
2014-01-04_21:12:00_427518	1388869920427.0	26.0	176.0	-218.0	0.0
2014-01-04_21:12:00_434200	1388869920434.0	28.0	174.0	-216.0	0.0
2014-01-04_21:12:00_440888	1388869920441.0	22.0	160.0	-218.0	0.0
2014-01-04_21:12:00_447598	1388869920447.0	38.0	160.0	-216.0	0.0
2014-01-04_21:12:00_454315	1388869920454.0	28.0	160.0	-216.0	0.0
2014-01-04_21:12:00_461038	1388869920461.0	24.0	162.0	-232.0	0.0
2014-01-04_21:12:00_467729	1388869920467.0	26.0	162.0	-210.0	0.0
2014-01-04_21:12:00_474442	1388869920474.0	28.0	160.0	-226.0	0.0
2014-01-04_21:12:00_481124	1388869920481.0	30.0	160.0	-214.0	0.0
2014-01-04_21:12:00_487824	1388869920488.0	22.0	164.0	-224.0	0.0
2014-01-04_21:12:00_494485	1388869920494.0	26.0	160.0	-218.0	0.0
2014-01-04_21:12:00_501204	1388869920501.0	20.0	152.0	-222.0	0.0
2014-01-04_21:12:00_507899	1388869920508.0	24.0	160.0	-230.0	0.0
2014-01-04_21:12:00_514654	1388869920514.0	28.0	144.0	-216.0	0.0
2014-01-04_21:12:00_521337	1388869920521.0	30.0	158.0	-216.0	0.0
2014-01-04_21:12:00_528023	1388869920528.0	30.0	152.0	-218.0	0.0
2014-01-04_21:12:00_534685	1388869920534.0	28.0	154.0	-220.0	0.0
2014-01-04_21:12:00_541406	1388869920541.0	34.0	156.0	-208.0	0.0
2014-01-04_21:12:00_548168	1388869920548.0	32.0	158.0	-232.0	0.0
2014-01-04_21:12:00_555549	1388869920556.0	32.0	158.0	-212.0	0.0
2014-01-04_21:12:00_562814	1388869920563.0	26.0	158.0	-218.0	0.0
2014-01-04_21:12:00_569498	1388869920569.0	24.0	160.0	-224.0	0.0
2014-01-04_21:12:00_576173	1388869920576.0	16.0	162.0	-216.0	0.0
2014-01-04_21:12:00_582869	1388869920583.0	36.0	160.0	-230.0	0.0
2014-01-04_21:12:00_589554	1388869920589.0	24.0	156.0	-222.0	0.0
2014-01-04_21:12:00_596327	1388869920596.0	14.0	160.0	-212.0	0.0
2014-01-04_21:12:00_603025	1388869920603.0	24.0	162.0	-218.0	0.0
2014-01-04_21:12:00_609892	1388869920610.0	24.0	158.0	-226.0	0.0
2014-01-04_21:12:00_616608	1388869920616.0	38.0	158.0	-226.0	0.0
2014-01-04_21:12:00_623285	1388869920623.0	28.0	166.0	-224.0	0.0
2014-01-04_21:12:00_629967	1388869920630.0	16.0	162.0	-224.0	0.0
2014-01-04_21:12:00_636672	1388869920636.0	30.0	154.0	-224.0	0.0
2014-01-04_21:12:00_643350	1388869920643.0	30.0	158.0	-228.0	0.0
2014-01-04_21:12:00_650030	1388869920650.0	32.0	148.0	-234.0	0.0
2014-01-04_21:12:00_656809	1388869920657.0	22.0	162.0	-196.0	0.0
2014-01-04_21:12:00_663543	1388869920663.0	26.0	148.0	-218.0	0.0
2014-01-04_21:12:00_670236	1388869920670.0	20.0	150.0	-228.0	0.0
2014-01-04_21:12:00_676955	1388869920677.0	30.0	154.0	-224.0	0.0
2014-01-04_21:12:00_683646	1388869920683.0	22.0	150.0	-232.0	0.0
2014-01-04_21:12:00_690300	1388869920690.0	0.0	166.0	-212.0	0.0
2014-01-04_21:12:00_697011	1388869920697.0	26.0	154.0	-212.0	0.0
2014-01-04_21:12:00_703700	1388869920703.0	18.0	168.0	-222.0	0.0
2014-01-04_21:12:00_710383	1388869920710.0	24.0	166.0	-224.0	0.0
2014-01-04_21:12:00_717087	1388869920717.0	16.0	156.0	-230.0	0.0
2014-01-04_21:12:00_723762	1388869920723.0	24.0	170.0	-218.0	0.0
2014-01-04_21:12:00_730533	1388869920730.0	28.0	172.0	-222.0	0.0
2014-01-04_21:12:00_737242	1388869920737.0	26.0	166.0	-198.0	0.0
2014-01-04_21:12:00_743928	1388869920744.0	28.0	164.0	-224.0	0.0
2014-01-04_21:12:00_750616	1388869920750.0	30.0	146.0	-218.0	0.0
2014-01-04_21:12:00_757372	1388869920757.0	28.0	162.0	-220.0	0.0
2014-01-04_21:12:00_764085	1388869920764.0	22.0	168.0	-216.0	0.0
2014-01-04_21:12:00_770880	1388869920771.0	28.0	162.0	-210.0	0.0
2014-01-04_21:12:00_777544	1388869920777.0	38.0	158.0	-218.0	0.0
2014-01-04_21:12:00_784218	1388869920784.0	40.0	166.0	-224.0	0.0
2014-01-04_21:12:00_790887	1388869920791.0	20.0	152.0	-212.0	0.0
2014-01-04_21:12:00_797570	1388869920797.0	36.0	154.0	-226.0	0.0
2014-01-04_21:12:00_804318	1388869920804.0	30.0	156.0	-212.0	0.0
2014-01-04_21:12:00_811020	1388869920811.0	22.0	160.0	-230.0	0.0
2014-01-04_21:12:00_817708	1388869920817.0	32.0	166.0	-252.0	0.0
2014-01-04_21:12:00_824389	1388869920824.0	34.0	160.0	-226.0	0.0
2014-01-04_21:12:00_831078	1388869920831.0	26.0	174.0	-252.0	0.0
2014-01-04_21:12:00_837795	1388869920838.0	32.0	164.0	-248.0	0.0
2014-01-04_21:12:00_844519	1388869920844.0	32.0	154.0	-226.0	0.0
2014-01-04_21:12:00_851210	1388869920851.0	22.0	156.0	-232.0	0.0
2014-01-04_21:12:00_857902	1388869920858.0	24.0	160.0	-232.0	0.0
2014-01-04_21:12:00_864665	1388869920864.0	32.0	150.0	-214.0	0.0
2014-01-04_21:12:00_871368	1388869920871.0	46.0	158.0	-222.0	0.0
2014-01-04_21:12:00_878082	1388869920878.0	14.0	160.0	-220.0	0.0
2014-01-04_21:12:00_884790	1388869920885.0	30.0	156.0	-228.0	0.0
2014-01-04_21:12:00_891470	1388869920891.0	28.0	172.0	-220.0	0.0
2014-01-04_21:12:00_898156	1388869920898.0	32.0	148.0	-210.0	0.0
2014-01-04_21:12:00_904851	1388869920905.0	30.0	148.0	-230.0	0.0
2014-01-04_21:12:00_911575	1388869920911.0	18.0	144.0	-222.0	0.0
2014-01-04_21:12:00_918273	1388869920918.0	32.0	156.0	-236.0	0.0
2014-01-04_21:12:00_924958	1388869920925.0	20.0	178.0	-226.0	0.0
2014-01-04_21:12:00_931657	1388869920931.0	30.0	158.0	-218.0	0.0
2014-01-04_21:12:00_938351	1388869920938.0	24.0	162.0	-220.0	0.0
2014-01-04_21:12:00_945038	1388869920945.0	26.0	154.0	-226.0	0.0
2014-01-04_21:12:00_951763	1388869920952.0	30.0	172.0	-222.0	0.0
2014-01-04_21:12:00_958452	1388869920958.0	32.0	154.0	-218.0	0.0
2014-01-04_21:12:00_965143	1388869920965.0	28.0	164.0	-240.0	0.0
2014-01-04_21:12:00_971973	1388869920972.0	24.0	162.0	-216.0	0.0
2014-01-04_21:12:00_978760	1388869920979.0	30.0	156.0	-222.0	0.0
2014-01-04_21:12:00_985437	1388869920985.0	16.0	160.0	-232.0	0.0
2014-01-04_21:12:00_992178	1388869920992.0	26.0	162.0	-218.0	0.0
2014-01-04_21:12:00_998868	1388869920999.0	12.0	178.0	-216.0	0.0
2014-01-04_21:12:01_005535	1388869921005.0	28.0	158.0	-226.0	0.0
2014-01-04_21:12:01_012371	1388869921012.0	28.0	166.0	-210.0	0.0
2014-01-04_21:12:01_019082	1388869921019.0	22.0	160.0	-238.0	0.0
2014-01-04_21:12:01_025828	1388869921026.0	28.0	166.0	-216.0	0.0
2014-01-04_21:12:01_032506	1388869921032.0	36.0	152.0	-202.0	0.0
2014-01-04_21:12:01_039179	1388869921039.0	38.0	158.0	-212.0	0.0
2014-01-04_21:12:01_045909	1388869921046.0	40.0	150.0	-228.0	0.0
2014-01-04_21:12:01_052603	1388869921052.0	22.0	156.0	-234.0	0.0
2014-01-04_21:12:01_059292	1388869921059.0	30.0	150.0	-214.0	0.0
2014-01-04_21:12:01_065969	1388869921066.0	24.0	152.0	-220.0	0.0
2014-01-04_21:12:01_072771	1388869921073.0	28.0	154.0	-212.0	0.0
2014-01-04_21:12:01_079485	1388869921079.0	16.0	158.0	-238.0	0.0
2014-01-04_21:12:01_086197	1388869921086.0	24.0	158.0	-208.0	0.0
2014-01-04_21:12:01_092874	1388869921093.0	28.0	160.0	-222.0	0.0
2014-01-04_21:12:01_099559	1388869921099.0	26.0	160.0	-218.0	0.0
2014-01-04_21:12:01_106267	1388869921106.0	30.0	174.0	-226.0	0.0
2014-01-04_21:12:01_112948	1388869921113.0	24.0	154.0	-216.0	0.0
2014-01-04_21:12:01_119627	1388869921119.0	28.0	156.0	-224.0	0.0
2014-01-04_21:12:01_126322	1388869921126.0	30.0	152.0	-226.0	0.0
2014-01-04_21:12:01_133009	1388869921133.0	28.0	166.0	-226.0	0.0
2014-01-04_21:12:01_139699	1388869921139.0	24.0	164.0	-228.0	0.0
2014-01-04_21:12:01_146388	1388869921146.0	38.0	144.0	-214.0	0.0
2014-01-04_21:12:01_153057	1388869921153.0	24.0	156.0	-224.0	0.0
2014-01-04_21:12:01_159760	1388869921160.0	28.0	156.0	-230.0	0.0
2014-01-04_21:12:01_166476	1388869921166.0	32.0	162.0	-202.0	0.0
2014-01-04_21:12:01_173152	1388869921173.0	22.0	148.0	-218.0	0.0
2014-01-04_21:12:01_179873	1388869921180.0	40.0	170.0	-212.0	0.0
2014-01-04_21:12:01_186683	1388869921186.0	24.0	166.0	-218.0	0.0
2014-01-04_21:12:01_193347	1388869921193.0	26.0	158.0	-210.0	0.0
2014-01-04_21:12:01_200035	1388869921200.0	34.0	162.0	-206.0	0.0
2014-01-04_21:12:01_206724	1388869921206.0	26.0	160.0	-252.0	0.0
2014-01-04_21:12:01_213425	1388869921213.0	24.0	156.0	-218.0	0.0
2014-01-04_21:12:01_220115	1388869921220.0	32.0	144.0	-220.0	0.0
2014-01-04_21:12:01_226890	1388869921227.0	30.0	156.0	-214.0	0.0
2014-01-04_21:12:01_233562	1388869921233.0	18.0	158.0	-218.0	0.0
2014-01-04_21:12:01_240240	1388869921240.0	26.0	160.0	-216.0	0.0
2014-01-04_21:12:01_246940	1388869921247.0	30.0	152.0	-228.0	0.0
2014-01-04_21:12:01_253623	1388869921253.0	26.0	160.0	-228.0	0.0
2014-01-04_21:12:01_260384	1388869921260.0	26.0	158.0	-228.0	0.0
2014-01-04_21:12:01_267061	1388869921267.0	30.0	166.0	-244.0	0.0
2014-01-04_21:12:01_273698	1388869921273.0	32.0	158.0	-214.0	0.0
2014-01-04_21:12:01_280403	1388869921280.0	20.0	160.0	-218.0	0.0
2014-01-04_21:12:01_287087	1388869921287.0	32.0	154.0	-212.0	0.0
2014-01-04_21:12:01_293747	1388869921293.0	30.0	162.0	-214.0	0.0
2014-01-04_21:12:01_300468	1388869921300.0	28.0	166.0	-228.0	0.0
2014-01-04_21:12:01_307172	1388869921307.0	16.0	156.0	-218.0	0.0
2014-01-04_21:12:01_313841	1388869921314.0	30.0	160.0	-228.0	0.0
2014-01-04_21:12:01_320523	1388869921320.0	42.0	158.0	-222.0	0.0
2014-01-04_21:12:01_327214	1388869921327.0	26.0	158.0	-200.0	0.0
2014-01-04_21:12:01_333890	1388869921334.0	28.0	150.0	-226.0	0.0
2014-01-04_21:12:01_340574	1388869921340.0	30.0	158.0	-216.0	0.0
2014-01-04_21:12:01_347254	1388869921347.0	20.0	164.0	-220.0	0.0
2014-01-04_21:12:01_353937	1388869921354.0	24.0	160.0	-224.0	0.0
2014-01-04_21:12:01_360613	1388869921360.0	20.0	158.0	-226.0	0.0
2014-01-04_21:12:01_367301	1388869921367.0	26.0	144.0	-222.0	0.0
2014-01-04_21:12:01_373965	1388869921374.0	18.0	160.0	-226.0	0.0
2014-01-04_21:12:01_380699	1388869921380.0	14.0	156.0	-220.0	0.0
2014-01-04_21:12:01_387429	1388869921387.0	28.0	160.0	-202.0	0.0
2014-01-04_21:12:01_394106	1388869921394.0	22.0	154.0	-212.0	0.0
2014-01-04_21:12:01_400782	1388869921401.0	30.0	182.0	-210.0	0.0
2014-01-04_21:12:01_407469	1388869921407.0	22.0	158.0	-222.0	0.0
2014-01-04_21:12:01_414138	1388869921414.0	32.0	146.0	-226.0	0.0
2014-01-04_21:12:01_420830	1388869921421.0	30.0	166.0	-228.0	0.0
2014-01-04_21:12:01_427514	1388869921427.0	28.0	160.0	-220.0	0.0
2014-01-04_21:12:01_434191	1388869921434.0	22.0	160.0	-212.0	0.0
2014-01-04_21:12:01_440866	1388869921441.0	28.0	150.0	-228.0	0.0
2014-01-04_21:12:01_447572	1388869921447.0	16.0	150.0	-222.0	0.0
2014-01-04_21:12:01_454251	1388869921454.0	14.0	166.0	-246.0	0.0
2014-01-04_21:12:01_460947	1388869921461.0	22.0	178.0	-204.0	0.0
2014-01-04_21:12:01_467621	1388869921467.0	24.0	154.0	-220.0	0.0
2014-01-04_21:12:01_474309	1388869921474.0	28.0	170.0	-216.0	0.0
2014-01-04_21:12:01_481036	1388869921481.0	14.0	164.0	-208.0	0.0
2014-01-04_21:12:01_487771	1388869921488.0	36.0	160.0	-228.0	0.0
2014-01-04_21:12:01_494440	1388869921494.0	26.0	174.0	-224.0	0.0
2014-01-04_21:12:01_501114	1388869921501.0	20.0	150.0	-226.0	0.0
2014-01-04_21:12:01_507824	1388869921508.0	32.0	162.0	-222.0	0.0
2014-01-04_21:12:01_514540	1388869921514.0	28.0	150.0	-214.0	0.0
2014-01-04_21:12:01_521215	1388869921521.0	30.0	162.0	-216.0	0.0
2014-01-04_21:12:01_527914	1388869921528.0	26.0	156.0	-220.0	0.0
2014-01-04_21:12:01_534615	1388869921534.0	24.0	158.0	-232.0	0.0
2014-01-04_21:12:01_541337	1388869921541.0	24.0	156.0	-228.0	0.0
2014-01-04_21:12:01_548047	1388869921548.0	20.0	152.0	-218.0	0.0
2014-01-04_21:12:01_554802	1388869921555.0	28.0	152.0	-226.0	0.0
2014-01-04_21:12:01_561488	1388869921561.0	24.0	160.0	-218.0	0.0
2014-01-04_21:12:01_568186	1388869921568.0	30.0	162.0	-232.0	0.0
2014-01-04_21:12:01_574836	1388869921575.0	26.0	158.0	-200.0	0.0
2014-01-04_21:12:01_581543	1388869921581.0	36.0	158.0	-234.0	0.0
2014-01-04_21:12:01_588354	1388869921588.0	20.0	152.0	-202.0	0.0
2014-01-04_21:12:01_595068	1388869921595.0	26.0	162.0	-218.0	0.0
2014-01-04_21:12:01_601734	1388869921601.0	28.0	160.0	-208.0	0.0
2014-01-04_21:12:01_608441	1388869921608.0	20.0	158.0	-208.0	0.0
2014-01-04_21:12:01_615133	1388869921615.0	24.0	156.0	-212.0	0.0
2014-01-04_21:12:01_621815	1388869921622.0	28.0	158.0	-212.0	0.0
2014-01-04_21:12:01_628576	1388869921628.0	26.0	168.0	-230.0	0.0
2014-01-04_21:12:01_635257	1388869921635.0	30.0	158.0	-220.0	0.0
2014-01-04_21:12:01_641985	1388869921642.0	30.0	166.0	-216.0	0.0
2014-01-04_21:12:01_648675	1388869921648.0	16.0	162.0	-220.0	0.0
2014-01-04_21:12:01_655347	1388869921655.0	24.0	162.0	-210.0	0.0
2014-01-04_21:12:01_662092	1388869921662.0	30.0	158.0	-228.0	0.0
2014-01-04_21:12:01_668780	1388869921669.0	28.0	180.0	-206.0	0.0
2014-01-04_21:12:01_675432	1388869921675.0	32.0	166.0	-226.0	0.0
2014-01-04_21:12:01_682239	1388869921682.0	32.0	150.0	-228.0	0.0
2014-01-04_21:12:01_688943	1388869921689.0	26.0	160.0	-230.0	0.0
2014-01-04_21:12:01_695646	1388869921696.0	24.0	160.0	-246.0	0.0
2014-01-04_21:12:01_702496	1388869921702.0	18.0	158.0	-210.0	0.0
2014-01-04_21:12:01_709193	1388869921709.0	24.0	152.0	-218.0	0.0
2014-01-04_21:12:01_715878	1388869921716.0	8.0	146.0	-214.0	0.0
2014-01-04_21:12:01_722617	1388869921722.0	32.0	152.0	-214.0	0.0
2014-01-04_21:12:01_729297	1388869921729.0	0.0	154.0	-218.0	0.0
2014-01-04_21:12:01_736004	1388869921736.0	32.0	176.0	-230.0	0.0
2014-01-04_21:12:01_742674	1388869921742.0	30.0	166.0	-214.0	0.0
2014-01-04_21:12:01_749432	1388869921749.0	26.0	158.0	-222.0	0.0
2014-01-04_21:12:01_756130	1388869921756.0	26.0	170.0	-226.0	0.0
2014-01-04_21:12:01_762881	1388869921763.0	30.0	160.0	-218.0	0.0
2014-01-04_21:12:01_769552	1388869921769.0	38.0	158.0	-214.0	0.0
2014-01-04_21:12:01_776219	1388869921776.0	32.0	158.0	-212.0	0.0
2014-01-04_21:12:01_782880	1388869921783.0	14.0	154.0	-224.0	0.0
2014-01-04_21:12:01_789599	1388869921789.0	20.0	172.0	-208.0	0.0
2014-01-04_21:12:01_796609	1388869921796.0	18.0	170.0	-226.0	0.0
2014-01-04_21:12:01_803299	1388869921803.0	22.0	162.0	-234.0	0.0
2014-01-04_21:12:01_809985	1388869921810.0	30.0	160.0	-220.0	0.0
2014-01-04_21:12:01_816661	1388869921816.0	22.0	162.0	-228.0	0.0
2014-01-04_21:12:01_823347	1388869921823.0	18.0	164.0	-212.0	0.0
2014-01-04_21:12:01_830025	1388869921830.0	28.0	158.0	-218.0	0.0
2014-01-04_21:12:01_836728	1388869921836.0	26.0	164.0	-230.0	0.0
2014-01-04_21:12:01_843422	1388869921843.0	24.0	160.0	-218.0	0.0
2014-01-04_21:12:01_850117	1388869921850.0	28.0	158.0	-224.0	0.0
2014-01-04_21:12:01_856855	1388869921857.0	14.0	160.0	-226.0	0.0
2014-01-04_21:12:01_863545	1388869921863.0	6.0	168.0	-226.0	0.0
2014-01-04_21:12:01_870257	1388869921870.0	24.0	160.0	-208.0	0.0
2014-01-04_21:12:01_876965	1388869921877.0	18.0	162.0	-218.0	0.0
2014-01-04_21:12:01_883648	1388869921883.0	12.0	168.0	-222.0	0.0
2014-01-04_21:12:01_890610	1388869921890.0	16.0	162.0	-228.0	0.0
2014-01-04_21:12:01_897354	1388869921897.0	30.0	158.0	-228.0	0.0
2014-01-04_21:12:01_904062	1388869921904.0	30.0	166.0	-238.0	0.0
2014-01-04_21:12:01_910734	1388869921910.0	26.0	164.0	-236.0	0.0
2014-01-04_21:12:01_917484	1388869921917.0	22.0	158.0	-216.0	0.0
2014-01-04_21:12:01_924148	1388869921924.0	28.0	150.0	-220.0	0.0
2014-01-04_21:12:01_930919	1388869921931.0	24.0	160.0	-212.0	0.0
2014-01-04_21:12:01_937611	1388869921937.0	32.0	158.0	-226.0	0.0
2014-01-04_21:12:01_944291	1388869921944.0	30.0	168.0	-220.0	0.0
2014-01-04_21:12:01_950965	1388869921951.0	26.0	144.0	-210.0	0.0
2014-01-04_21:12:01_957639	1388869921957.0	24.0	158.0	-224.0	0.0
2014-01-04_21:12:01_964398	1388869921964.0	18.0	160.0	-218.0	0.0
2014-01-04_21:12:01_971083	1388869921971.0	20.0	158.0	-214.0	0.0
2014-01-04_21:12:01_977760	1388869921978.0	28.0	162.0	-230.0	0.0
2014-01-04_21:12:01_984453	1388869921984.0	10.0	168.0	-220.0	0.0
2014-01-04_21:12:01_991134	1388869921991.0	16.0	160.0	-216.0	0.0
2014-01-04_21:12:01_997847	1388869921998.0	38.0	166.0	-232.0	0.0
2014-01-04_21:12:02_004583	1388869922004.0	42.0	162.0	-236.0	0.0
2014-01-04_21:12:02_011398	1388869922011.0	24.0	160.0	-220.0	0.0
2014-01-04_21:12:02_018096	1388869922018.0	28.0	160.0	-232.0	0.0
2014-01-04_21:12:02_024782	1388869922025.0	28.0	156.0	-224.0	0.0
2014-01-04_21:12:02_031459	1388869922031.0	16.0	170.0	-214.0	0.0
2014-01-04_21:12:02_038200	1388869922038.0	32.0	150.0	-226.0	0.0
2014-01-04_21:12:02_044890	1388869922045.0	22.0	160.0	-200.0	0.0
2014-01-04_21:12:02_051575	1388869922051.0	20.0	168.0	-240.0	0.0
2014-01-04_21:12:02_058256	1388869922058.0	24.0	154.0	-216.0	0.0
2014-01-04_21:12:02_064932	1388869922065.0	22.0	168.0	-232.0	0.0
2014-01-04_21:12:02_071595	1388869922071.0	22.0	166.0	-208.0	0.0
2014-01-04_21:12:02_078267	1388869922078.0	40.0	162.0	-222.0	0.0
2014-01-04_21:12:02_084951	1388869922085.0	22.0	162.0	-220.0	0.0
2014-01-04_21:12:02_091626	1388869922091.0	16.0	162.0	-218.0	0.0
2014-01-04_21:12:02_098334	1388869922098.0	18.0	168.0	-218.0	0.0
2014-01-04_21:12:02_105047	1388869922105.0	24.0	158.0	-218.0	0.0
2014-01-04_21:12:02_111744	1388869922111.0	22.0	158.0	-210.0	0.0
2014-01-04_21:12:02_118420	1388869922118.0	22.0	180.0	-222.0	0.0
2014-01-04_21:12:02_125138	1388869922125.0	22.0	160.0	-220.0	0.0
2014-01-04_21:12:02_131823	1388869922132.0	30.0	144.0	-210.0	0.0
2014-01-04_21:12:02_138551	1388869922138.0	34.0	160.0	-212.0	0.0
2014-01-04_21:12:02_145222	1388869922145.0	26.0	158.0	-210.0	0.0
2014-01-04_21:12:02_151901	1388869922152.0	16.0	166.0	-218.0	0.0
2014-01-04_21:12:02_158584	1388869922158.0	22.0	160.0	-208.0	0.0
