datetime	speed	x	y	z	d
2014-01-04_21:12:10_587701	1388869930587.0	24.0	141.0	-240.0	0.0
2014-01-04_21:12:10_594704	1388869930594.0	25.0	146.0	-241.0	0.0
2014-01-04_21:12:10_601446	1388869930601.0	25.0	146.0	-241.0	0.0
2014-01-04_21:12:10_608164	1388869930608.0	25.0	146.0	-241.0	0.0
2014-01-04_21:12:10_614954	1388869930615.0	25.0	149.0	-235.0	0.0
2014-01-04_21:12:10_621670	1388869930621.0	25.0	149.0	-235.0	0.0
2014-01-04_21:12:10_628365	1388869930628.0	25.0	149.0	-235.0	0.0
2014-01-04_21:12:10_635045	1388869930635.0	24.0	146.0	-233.0	0.0
2014-01-04_21:12:10_641726	1388869930641.0	24.0	146.0	-233.0	0.0
2014-01-04_21:12:10_648425	1388869930648.0	24.0	146.0	-233.0	0.0
2014-01-04_21:12:10_655094	1388869930655.0	22.0	147.0	-236.0	0.0
2014-01-04_21:12:10_661801	1388869930662.0	22.0	147.0	-236.0	0.0
2014-01-04_21:12:10_668487	1388869930668.0	22.0	147.0	-236.0	0.0
2014-01-04_21:12:10_675153	1388869930675.0	23.0	150.0	-437.0	0.0
2014-01-04_21:12:10_681820	1388869930682.0	23.0	150.0	-437.0	0.0
2014-01-04_21:12:10_688485	1388869930688.0	23.0	150.0	-437.0	0.0
2014-01-04_21:12:10_695150	1388869930695.0	36.0	175.0	-190.0	0.0
2014-01-04_21:12:10_701874	1388869930702.0	36.0	175.0	-190.0	0.0
2014-01-04_21:12:10_708590	1388869930708.0	16.0	132.0	-221.0	0.0
2014-01-04_21:12:10_715266	1388869930715.0	16.0	132.0	-221.0	0.0
2014-01-04_21:12:10_722008	1388869930722.0	16.0	132.0	-221.0	0.0
2014-01-04_21:12:10_728706	1388869930728.0	18.0	128.0	-218.0	0.0
2014-01-04_21:12:10_735387	1388869930735.0	18.0	128.0	-218.0	0.0
2014-01-04_21:12:10_742165	1388869930742.0	18.0	128.0	-218.0	0.0
2014-01-04_21:12:10_748849	1388869930749.0	24.0	158.0	-190.0	0.0
2014-01-04_21:12:10_755599	1388869930755.0	24.0	158.0	-190.0	0.0
2014-01-04_21:12:10_762323	1388869930762.0	24.0	158.0	-190.0	0.0
2014-01-04_21:12:10_769012	1388869930769.0	24.0	158.0	-224.0	0.0
2014-01-04_21:12:10_775744	1388869930775.0	24.0	158.0	-224.0	0.0
2014-01-04_21:12:10_782407	1388869930782.0	24.0	158.0	-224.0	0.0
2014-01-04_21:12:10_789111	1388869930789.0	16.0	133.0	-199.0	0.0
2014-01-04_21:12:10_795889	1388869930796.0	16.0	133.0	-199.0	0.0
2014-01-04_21:12:10_802602	1388869930802.0	16.0	133.0	-199.0	0.0
2014-01-04_21:12:10_809305	1388869930809.0	27.0	153.0	-340.0	0.0
2014-01-04_21:12:10_815995	1388869930816.0	27.0	153.0	-340.0	0.0
2014-01-04_21:12:10_822673	1388869930822.0	27.0	153.0	-340.0	0.0
2014-01-04_21:12:10_829391	1388869930829.0	32.0	164.0	-184.0	0.0
2014-01-04_21:12:10_836090	1388869930836.0	32.0	164.0	-184.0	0.0
2014-01-04_21:12:10_842777	1388869930843.0	32.0	164.0	-184.0	0.0
2014-01-04_21:12:10_849487	1388869930849.0	13.0	122.0	-249.0	0.0
2014-01-04_21:12:10_856181	1388869930856.0	13.0	122.0	-249.0	0.0
2014-01-04_21:12:10_862853	1388869930863.0	13.0	122.0	-249.0	0.0
2014-01-04_21:12:10_869549	1388869930869.0	46.0	158.0	-218.0	0.0
2014-01-04_21:12:10_876234	1388869930876.0	46.0	158.0	-218.0	0.0
2014-01-04_21:12:10_882886	1388869930883.0	46.0	158.0	-218.0	0.0
2014-01-04_21:12:10_889546	1388869930889.0	18.0	144.0	-243.0	0.0
2014-01-04_21:12:10_896241	1388869930896.0	18.0	144.0	-243.0	0.0
2014-01-04_21:12:10_903032	1388869930903.0	12.0	154.0	-200.0	0.0
2014-01-04_21:12:10_909776	1388869930910.0	12.0	154.0	-200.0	0.0
2014-01-04_21:12:10_916470	1388869930916.0	12.0	154.0	-200.0	0.0
2014-01-04_21:12:10_923139	1388869930923.0	26.0	151.0	-251.0	0.0
2014-01-04_21:12:10_929845	1388869930930.0	26.0	151.0	-251.0	0.0
2014-01-04_21:12:10_936538	1388869930936.0	26.0	151.0	-251.0	0.0
2014-01-04_21:12:10_943219	1388869930943.0	28.0	141.0	-211.0	0.0
2014-01-04_21:12:10_949923	1388869930950.0	28.0	141.0	-211.0	0.0
2014-01-04_21:12:10_956616	1388869930956.0	28.0	141.0	-211.0	0.0
2014-01-04_21:12:10_963288	1388869930963.0	16.0	149.0	-232.0	0.0
2014-01-04_21:12:10_969976	1388869930970.0	16.0	149.0	-232.0	0.0
2014-01-04_21:12:10_976664	1388869930976.0	16.0	149.0	-232.0	0.0
2014-01-04_21:12:10_983331	1388869930983.0	26.0	166.0	-237.0	0.0
2014-01-04_21:12:10_990003	1388869930990.0	26.0	166.0	-237.0	0.0
2014-01-04_21:12:10_996702	1388869930996.0	26.0	166.0	-237.0	0.0
2014-01-04_21:12:11_003414	1388869931003.0	25.0	126.0	-209.0	0.0
2014-01-04_21:12:11_010460	1388869931010.0	25.0	126.0	-209.0	0.0
2014-01-04_21:12:11_017165	1388869931017.0	25.0	126.0	-209.0	0.0
2014-01-04_21:12:11_023853	1388869931024.0	27.0	158.0	-247.0	0.0
2014-01-04_21:12:11_030542	1388869931030.0	27.0	158.0	-247.0	0.0
2014-01-04_21:12:11_037299	1388869931037.0	27.0	158.0	-247.0	0.0
2014-01-04_21:12:11_043996	1388869931044.0	29.0	152.0	-208.0	0.0
2014-01-04_21:12:11_050690	1388869931050.0	29.0	152.0	-208.0	0.0
2014-01-04_21:12:11_057379	1388869931057.0	29.0	152.0	-208.0	0.0
2014-01-04_21:12:11_064065	1388869931064.0	25.0	140.0	-240.0	0.0
2014-01-04_21:12:11_070748	1388869931070.0	25.0	140.0	-240.0	0.0
2014-01-04_21:12:11_077456	1388869931077.0	25.0	140.0	-240.0	0.0
2014-01-04_21:12:11_084118	1388869931084.0	30.0	161.0	-213.0	0.0
2014-01-04_21:12:11_090767	1388869931091.0	30.0	161.0	-213.0	0.0
2014-01-04_21:12:11_097470	1388869931097.0	20.0	137.0	-243.0	0.0
2014-01-04_21:12:11_104157	1388869931104.0	20.0	137.0	-243.0	0.0
2014-01-04_21:12:11_110884	1388869931111.0	20.0	137.0	-243.0	0.0
2014-01-04_21:12:11_117616	1388869931117.0	27.0	154.0	-210.0	0.0
2014-01-04_21:12:11_124288	1388869931124.0	27.0	154.0	-210.0	0.0
2014-01-04_21:12:11_130984	1388869931131.0	27.0	154.0	-210.0	0.0
2014-01-04_21:12:11_137679	1388869931137.0	26.0	148.0	-248.0	0.0
2014-01-04_21:12:11_144356	1388869931144.0	26.0	148.0	-248.0	0.0
2014-01-04_21:12:11_151031	1388869931151.0	26.0	148.0	-248.0	0.0
2014-01-04_21:12:11_157731	1388869931157.0	24.0	146.0	-202.0	0.0
2014-01-04_21:12:11_164398	1388869931164.0	24.0	146.0	-202.0	0.0
2014-01-04_21:12:11_171076	1388869931171.0	24.0	146.0	-202.0	0.0
2014-01-04_21:12:11_177752	1388869931177.0	24.0	150.0	-246.0	0.0
2014-01-04_21:12:11_184401	1388869931184.0	24.0	150.0	-246.0	0.0
2014-01-04_21:12:11_191082	1388869931191.0	24.0	150.0	-246.0	0.0
2014-01-04_21:12:11_197784	1388869931198.0	25.0	148.0	-206.0	0.0
2014-01-04_21:12:11_204453	1388869931204.0	25.0	148.0	-206.0	0.0
2014-01-04_21:12:11_211207	1388869931211.0	25.0	148.0	-206.0	0.0
2014-01-04_21:12:11_217948	1388869931218.0	24.0	144.0	-242.0	0.0
2014-01-04_21:12:11_224636	1388869931224.0	24.0	144.0	-242.0	0.0
2014-01-04_21:12:11_231335	1388869931231.0	24.0	144.0	-242.0	0.0
2014-01-04_21:12:11_238041	1388869931238.0	27.0	159.0	-214.0	0.0
2014-01-04_21:12:11_244719	1388869931244.0	27.0	159.0	-214.0	0.0
2014-01-04_21:12:11_251440	1388869931251.0	27.0	159.0	-214.0	0.0
2014-01-04_21:12:11_258135	1388869931258.0	26.0	138.0	-235.0	0.0
2014-01-04_21:12:11_264822	1388869931265.0	26.0	138.0	-235.0	0.0
2014-01-04_21:12:11_271509	1388869931271.0	26.0	138.0	-235.0	0.0
2014-01-04_21:12:11_278235	1388869931278.0	27.0	159.0	-217.0	0.0
2014-01-04_21:12:11_284889	1388869931285.0	27.0	159.0	-217.0	0.0
2014-01-04_21:12:11_291619	1388869931291.0	27.0	159.0	-217.0	0.0
2014-01-04_21:12:11_298323	1388869931298.0	25.0	143.0	-236.0	0.0
2014-01-04_21:12:11_305023	1388869931305.0	25.0	143.0	-236.0	0.0
2014-01-04_21:12:11_311741	1388869931311.0	26.0	155.0	-215.0	0.0
2014-01-04_21:12:11_318483	1388869931318.0	26.0	155.0	-215.0	0.0
2014-01-04_21:12:11_325262	1388869931325.0	26.0	155.0	-215.0	0.0
2014-01-04_21:12:11_332026	1388869931332.0	29.0	147.0	-237.0	0.0
2014-01-04_21:12:11_338719	1388869931338.0	29.0	147.0	-237.0	0.0
2014-01-04_21:12:11_345386	1388869931345.0	29.0	147.0	-237.0	0.0
2014-01-04_21:12:11_352320	1388869931352.0	24.0	151.0	-214.0	0.0
2014-01-04_21:12:11_359024	1388869931359.0	24.0	151.0	-214.0	0.0
2014-01-04_21:12:11_365797	1388869931366.0	24.0	151.0	-214.0	0.0
2014-01-04_21:12:11_372492	1388869931372.0	26.0	148.0	-237.0	0.0
2014-01-04_21:12:11_379169	1388869931379.0	26.0	148.0	-237.0	0.0
2014-01-04_21:12:11_385943	1388869931386.0	26.0	148.0	-237.0	0.0
2014-01-04_21:12:11_392628	1388869931392.0	27.0	150.0	-213.0	0.0
2014-01-04_21:12:11_399310	1388869931399.0	27.0	150.0	-213.0	0.0
2014-01-04_21:12:11_406042	1388869931406.0	27.0	150.0	-213.0	0.0
2014-01-04_21:12:11_412731	1388869931412.0	27.0	145.0	-235.0	0.0
2014-01-04_21:12:11_419503	1388869931419.0	27.0	145.0	-235.0	0.0
2014-01-04_21:12:11_426230	1388869931426.0	27.0	145.0	-235.0	0.0
2014-01-04_21:12:11_432932	1388869931433.0	34.0	148.0	-224.0	0.0
2014-01-04_21:12:11_439635	1388869931439.0	34.0	148.0	-224.0	0.0
2014-01-04_21:12:11_446393	1388869931446.0	34.0	148.0	-224.0	0.0
2014-01-04_21:12:11_453074	1388869931453.0	33.0	143.0	-224.0	0.0
2014-01-04_21:12:11_459844	1388869931460.0	33.0	143.0	-224.0	0.0
2014-01-04_21:12:11_466534	1388869931466.0	33.0	143.0	-224.0	0.0
2014-01-04_21:12:11_473207	1388869931473.0	27.0	156.0	-224.0	0.0
2014-01-04_21:12:11_479886	1388869931480.0	27.0	156.0	-224.0	0.0
2014-01-04_21:12:11_486586	1388869931486.0	14.0	145.0	-226.0	0.0
2014-01-04_21:12:11_493331	1388869931493.0	14.0	145.0	-226.0	0.0
2014-01-04_21:12:11_500016	1388869931500.0	14.0	145.0	-226.0	0.0
2014-01-04_21:12:11_506725	1388869931506.0	15.0	154.0	-226.0	0.0
2014-01-04_21:12:11_513415	1388869931513.0	15.0	154.0	-226.0	0.0
2014-01-04_21:12:11_520130	1388869931520.0	15.0	154.0	-226.0	0.0
2014-01-04_21:12:11_526877	1388869931527.0	25.0	146.0	-228.0	0.0
2014-01-04_21:12:11_533637	1388869931533.0	25.0	146.0	-228.0	0.0
2014-01-04_21:12:11_540339	1388869931540.0	25.0	146.0	-228.0	0.0
2014-01-04_21:12:11_547064	1388869931547.0	23.0	149.0	-220.0	0.0
2014-01-04_21:12:11_553755	1388869931553.0	23.0	149.0	-220.0	0.0
2014-01-04_21:12:11_560436	1388869931560.0	23.0	149.0	-220.0	0.0
2014-01-04_21:12:11_567128	1388869931567.0	28.0	151.0	-232.0	0.0
2014-01-04_21:12:11_573814	1388869931574.0	28.0	151.0	-232.0	0.0
2014-01-04_21:12:11_580495	1388869931580.0	28.0	151.0	-232.0	0.0
2014-01-04_21:12:11_587169	1388869931587.0	29.0	144.0	-227.0	0.0
2014-01-04_21:12:11_594737	1388869931594.0	29.0	144.0	-227.0	0.0
2014-01-04_21:12:11_601440	1388869931601.0	29.0	144.0	-227.0	0.0
2014-01-04_21:12:11_608131	1388869931608.0	29.0	151.0	-231.0	0.0
2014-01-04_21:12:11_614943	1388869931615.0	29.0	151.0	-231.0	0.0
2014-01-04_21:12:11_621727	1388869931621.0	29.0	151.0	-231.0	0.0
2014-01-04_21:12:11_628462	1388869931628.0	25.0	151.0	-225.0	0.0
2014-01-04_21:12:11_635146	1388869931635.0	25.0	151.0	-225.0	0.0
2014-01-04_21:12:11_641833	1388869931642.0	25.0	151.0	-225.0	0.0
2014-01-04_21:12:11_648535	1388869931648.0	27.0	148.0	-228.0	0.0
2014-01-04_21:12:11_655215	1388869931655.0	27.0	148.0	-228.0	0.0
2014-01-04_21:12:11_661904	1388869931662.0	28.0	150.0	-225.0	0.0
2014-01-04_21:12:11_668595	1388869931668.0	28.0	150.0	-225.0	0.0
2014-01-04_21:12:11_675270	1388869931675.0	28.0	150.0	-225.0	0.0
2014-01-04_21:12:11_681998	1388869931682.0	25.0	146.0	-226.0	0.0
2014-01-04_21:12:11_688666	1388869931688.0	25.0	146.0	-226.0	0.0
2014-01-04_21:12:11_695328	1388869931695.0	25.0	146.0	-226.0	0.0
2014-01-04_21:12:11_702184	1388869931702.0	21.0	149.0	-227.0	0.0
2014-01-04_21:12:11_708880	1388869931709.0	21.0	149.0	-227.0	0.0
2014-01-04_21:12:11_715631	1388869931715.0	21.0	149.0	-227.0	0.0
2014-01-04_21:12:11_722435	1388869931722.0	18.0	151.0	-224.0	0.0
2014-01-04_21:12:11_729206	1388869931729.0	18.0	151.0	-224.0	0.0
2014-01-04_21:12:11_735940	1388869931736.0	18.0	151.0	-224.0	0.0
2014-01-04_21:12:11_742623	1388869931742.0	21.0	148.0	-226.0	0.0
2014-01-04_21:12:11_749380	1388869931749.0	21.0	148.0	-226.0	0.0
2014-01-04_21:12:11_756075	1388869931756.0	21.0	148.0	-226.0	0.0
2014-01-04_21:12:11_762747	1388869931762.0	24.0	153.0	-227.0	0.0
2014-01-04_21:12:11_769434	1388869931769.0	24.0	153.0	-227.0	0.0
2014-01-04_21:12:11_776126	1388869931776.0	24.0	153.0	-227.0	0.0
2014-01-04_21:12:11_782786	1388869931783.0	25.0	148.0	-230.0	0.0
2014-01-04_21:12:11_789551	1388869931789.0	25.0	148.0	-230.0	0.0
2014-01-04_21:12:11_796263	1388869931796.0	25.0	148.0	-230.0	0.0
2014-01-04_21:12:11_802937	1388869931803.0	27.0	150.0	-225.0	0.0
2014-01-04_21:12:11_809632	1388869931809.0	27.0	150.0	-225.0	0.0
2014-01-04_21:12:11_816332	1388869931816.0	27.0	150.0	-225.0	0.0
2014-01-04_21:12:11_823309	1388869931823.0	25.0	146.0	-226.0	0.0
2014-01-04_21:12:11_830082	1388869931830.0	25.0	146.0	-226.0	0.0
2014-01-04_21:12:11_836849	1388869931837.0	24.0	150.0	-225.0	0.0
2014-01-04_21:12:11_843830	1388869931844.0	24.0	150.0	-225.0	0.0
2014-01-04_21:12:11_850538	1388869931850.0	24.0	150.0	-225.0	0.0
2014-01-04_21:12:11_857230	1388869931857.0	22.0	148.0	-228.0	0.0
2014-01-04_21:12:11_863931	1388869931864.0	22.0	148.0	-228.0	0.0
2014-01-04_21:12:11_870619	1388869931870.0	22.0	148.0	-228.0	0.0
2014-01-04_21:12:11_877375	1388869931877.0	26.0	146.0	-225.0	0.0
2014-01-04_21:12:11_884038	1388869931884.0	26.0	146.0	-225.0	0.0
2014-01-04_21:12:11_890684	1388869931890.0	26.0	146.0	-225.0	0.0
2014-01-04_21:12:11_897378	1388869931897.0	24.0	149.0	-229.0	0.0
2014-01-04_21:12:11_904070	1388869931904.0	24.0	149.0	-229.0	0.0
2014-01-04_21:12:11_910750	1388869931910.0	24.0	149.0	-229.0	0.0
2014-01-04_21:12:11_917466	1388869931917.0	25.0	149.0	-224.0	0.0
2014-01-04_21:12:11_924130	1388869931924.0	25.0	149.0	-224.0	0.0
2014-01-04_21:12:11_930857	1388869931931.0	25.0	149.0	-224.0	0.0
2014-01-04_21:12:11_937587	1388869931937.0	23.0	149.0	-226.0	0.0
2014-01-04_21:12:11_944274	1388869931944.0	23.0	149.0	-226.0	0.0
2014-01-04_21:12:11_950954	1388869931951.0	23.0	149.0	-226.0	0.0
2014-01-04_21:12:11_957659	1388869931957.0	23.0	151.0	-225.0	0.0
2014-01-04_21:12:11_964333	1388869931964.0	23.0	151.0	-225.0	0.0
2014-01-04_21:12:11_971017	1388869931971.0	23.0	151.0	-225.0	0.0
2014-01-04_21:12:11_977690	1388869931977.0	23.0	149.0	-228.0	0.0
2014-01-04_21:12:11_984347	1388869931984.0	23.0	149.0	-228.0	0.0
2014-01-04_21:12:11_991027	1388869931991.0	23.0	149.0	-228.0	0.0
2014-01-04_21:12:11_997741	1388869931997.0	22.0	150.0	-226.0	0.0
2014-01-04_21:12:12_004419	1388869932004.0	22.0	150.0	-226.0	0.0
2014-01-04_21:12:12_011107	1388869932011.0	22.0	150.0	-226.0	0.0
2014-01-04_21:12:12_017805	1388869932018.0	24.0	147.0	-225.0	0.0
2014-01-04_21:12:12_024496	1388869932024.0	24.0	147.0	-225.0	0.0
2014-01-04_21:12:12_031202	1388869932031.0	26.0	150.0	-225.0	0.0
2014-01-04_21:12:12_037917	1388869932038.0	26.0	150.0	-225.0	0.0
2014-01-04_21:12:12_044612	1388869932044.0	26.0	150.0	-225.0	0.0
2014-01-04_21:12:12_051309	1388869932051.0	25.0	146.0	-226.0	0.0
2014-01-04_21:12:12_058006	1388869932058.0	25.0	146.0	-226.0	0.0
2014-01-04_21:12:12_064688	1388869932064.0	25.0	146.0	-226.0	0.0
2014-01-04_21:12:12_071369	1388869932071.0	30.0	149.0	-227.0	0.0
2014-01-04_21:12:12_078065	1388869932078.0	30.0	149.0	-227.0	0.0
2014-01-04_21:12:12_084732	1388869932084.0	30.0	149.0	-227.0	0.0
2014-01-04_21:12:12_091385	1388869932091.0	28.0	150.0	-228.0	0.0
2014-01-04_21:12:12_098086	1388869932098.0	28.0	150.0	-228.0	0.0
2014-01-04_21:12:12_104781	1388869932105.0	28.0	150.0	-228.0	0.0
2014-01-04_21:12:12_111470	1388869932111.0	21.0	150.0	-228.0	0.0
2014-01-04_21:12:12_118191	1388869932118.0	21.0	150.0	-228.0	0.0
2014-01-04_21:12:12_124866	1388869932125.0	21.0	150.0	-228.0	0.0
2014-01-04_21:12:12_131824	1388869932132.0	24.0	148.0	-229.0	0.0
2014-01-04_21:12:12_138550	1388869932138.0	24.0	148.0	-229.0	0.0
2014-01-04_21:12:12_145235	1388869932145.0	24.0	148.0	-229.0	0.0
2014-01-04_21:12:12_151981	1388869932152.0	28.0	149.0	-224.0	0.0
2014-01-04_21:12:12_158670	1388869932158.0	28.0	149.0	-224.0	0.0
2014-01-04_21:12:12_165410	1388869932165.0	28.0	149.0	-224.0	0.0
2014-01-04_21:12:12_172166	1388869932172.0	27.0	148.0	-227.0	0.0
2014-01-04_21:12:12_178847	1388869932179.0	27.0	148.0	-227.0	0.0
2014-01-04_21:12:12_185513	1388869932185.0	27.0	148.0	-227.0	0.0
2014-01-04_21:12:12_192345	1388869932192.0	21.0	149.0	-224.0	0.0
2014-01-04_21:12:12_199031	1388869932199.0	21.0	149.0	-224.0	0.0
2014-01-04_21:12:12_205777	1388869932206.0	21.0	149.0	-224.0	0.0
2014-01-04_21:12:12_212464	1388869932212.0	26.0	148.0	-226.0	0.0
2014-01-04_21:12:12_219147	1388869932219.0	26.0	148.0	-226.0	0.0
2014-01-04_21:12:12_225881	1388869932226.0	27.0	150.0	-227.0	0.0
2014-01-04_21:12:12_232582	1388869932232.0	27.0	150.0	-227.0	0.0
2014-01-04_21:12:12_239301	1388869932239.0	27.0	150.0	-227.0	0.0
2014-01-04_21:12:12_246032	1388869932246.0	24.0	149.0	-226.0	0.0
2014-01-04_21:12:12_252717	1388869932252.0	24.0	149.0	-226.0	0.0
2014-01-04_21:12:12_259394	1388869932259.0	24.0	149.0	-226.0	0.0
2014-01-04_21:12:12_266091	1388869932266.0	26.0	149.0	-224.0	0.0
2014-01-04_21:12:12_272763	1388869932272.0	26.0	149.0	-224.0	0.0
2014-01-04_21:12:12_279437	1388869932279.0	26.0	149.0	-224.0	0.0
2014-01-04_21:12:12_286116	1388869932286.0	27.0	149.0	-223.0	0.0
2014-01-04_21:12:12_292783	1388869932293.0	27.0	149.0	-223.0	0.0
2014-01-04_21:12:12_299515	1388869932299.0	27.0	149.0	-223.0	0.0
2014-01-04_21:12:12_306229	1388869932306.0	25.0	148.0	-223.0	0.0
2014-01-04_21:12:12_312899	1388869932313.0	25.0	148.0	-223.0	0.0
2014-01-04_21:12:12_319578	1388869932319.0	25.0	148.0	-223.0	0.0
2014-01-04_21:12:12_326275	1388869932326.0	23.0	150.0	-227.0	0.0
